knob,default,factor,value,mode,speedup,d_speedup_pct,waste,d_waste,hit_rate,sem_hits
policy.signals.templated_signal,0.85,0.5,0.425,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.signals.templated_signal,0.85,0.75,0.6375,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.signals.templated_signal,0.85,1.25,1.0625,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.signals.templated_signal,0.85,1.5,1.275,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.signals.entropy_penalty_weight,0.35,0.5,0.175,raw,1.0,0.0,0.0,0.0,0.0,0
policy.signals.entropy_penalty_weight,0.35,0.75,0.2625,raw,1.0,0.0,0.0,0.0,0.0,0
policy.signals.entropy_penalty_weight,0.35,1.25,0.4375,raw,1.0,0.0,0.0,0.0,0.0,0
policy.signals.entropy_penalty_weight,0.35,1.5,0.525,raw,1.0,0.0,0.0,0.0,0.0,0
policy.signals.entropy_penalty_weight,0.35,0.5,0.175,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.signals.entropy_penalty_weight,0.35,0.75,0.2625,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.signals.entropy_penalty_weight,0.35,1.25,0.4375,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.signals.entropy_penalty_weight,0.35,1.5,0.525,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.base,0.65,0.5,0.325,raw,1.0,0.0,0.0,0.0,0.0,0
policy.health.base,0.65,0.75,0.4875,raw,1.0,0.0,0.0,0.0,0.0,0
policy.health.base,0.65,1.25,0.8125,raw,1.0,0.0,0.0,0.0,0.0,0
policy.health.base,0.65,1.5,0.975,raw,1.0,0.0,0.0,0.0,0.0,0
policy.health.base,0.65,0.5,0.325,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.base,0.65,0.75,0.4875,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.base,0.65,1.25,0.8125,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.base,0.65,1.5,0.975,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.hit_rate_weight,0.35,0.5,0.175,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.hit_rate_weight,0.35,0.75,0.2625,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.hit_rate_weight,0.35,1.25,0.4375,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.hit_rate_weight,0.35,1.5,0.525,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.waste_ratio_weight,0.45,0.5,0.225,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.waste_ratio_weight,0.45,0.75,0.3375,templated,1.9778,0.0,0.0,0.0,0.979,0
policy.health.waste_ratio_weight,0.45,1.25,0.5625,templated,1.9778,0.0,0.0,0.0,0.979,0
