model,dataset,prompt_mode,seed,engine,runtime_kind,literature_accurate_external_runtime,mean_latency_ms,p50_latency_ms,p95_latency_ms,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,hit_rate,cached_tokens_total,cached_tokens_mean,wasted_compute_ratio,reuse_attempts,reuse_successes,speculative_hits,speculative_hit_rate,wasted_compute_ms,utility_proxy_ms,policy_plans_total,policy_bypass_total,policy_exact_total,policy_semantic_partial_total,admission_controller_enabled,admission_plans_total,admission_allow_total,admission_bypass_total,admission_runtime_cache_resets,supports_external_kv,supports_native_prefix_caching,source_json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,no_cache,,,41.77537967200351,37.59450950019527,56.929052000214135,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,shadow_kv_plus_lite,,,43.6846338281498,39.998430499508686,58.10398684916435,0.9562946054748434,0.9797787568002811,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,shadow_kv_plus,,,47.57892420295207,43.417172498266154,64.67325134917701,0.8780227878589052,0.8802565328415112,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,64.0,1.0,63.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,shadow_kv,,,45.98608225003886,41.9737835009073,59.86450674981824,0.908435283633413,0.9509650223650591,0.984375,,,0.0,63.0,63.0,63.0,1.0,0.0,2305.3232789934555,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,reactive_prefix_cache,,,43.880120094001995,41.29871499935689,53.68844415079365,0.952034305797486,1.0603595038127507,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,strict_reactive_prefix_cache,,,42.778938109307774,41.38354049973714,47.995910751069445,0.9765408286961216,1.186122965672563,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,greedy_prefix_cache,,,41.6318549999346,40.37044449978566,46.444092899582756,1.00344747242392,1.225754416676864,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,frequency_speculative,,,43.40827376557854,41.605378999520326,52.56195874944751,0.9623828834476742,1.0830846748231682,0.953125,,,0.0,61.0,61.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,idle_energy_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_daily_dialog_rag_cuda.json
,,,,gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/run_manifest.json
,,,,env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/run_manifest.json
,,,,config_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/main_hf/run_manifest.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,vllm_apc,vllm,True,71.35630267191573,37.73007600011624,52.90125875098964,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/runtime/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_daily_dialog_rag.json
Qwen/Qwen2.5-1.5B-Instruct,daily_dialog,rag,42.0,vllm_apc_shadowkv_plus,vllm,True,32.43334570311163,31.287673000406357,40.22017525048795,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,64.0,63.0,1.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/daily_dialog/runtime/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_daily_dialog_rag.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,no_cache,,,42.60763570297854,38.878789000591496,58.00344884964943,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,shadow_kv_plus_lite,,,43.96278803102405,43.21694349982863,58.639228999527404,0.9691750139438565,0.9891577675776894,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,shadow_kv_plus,,,45.28716000001509,40.51074000017252,62.416522900366544,0.940832582634114,0.9292963810598428,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,64.0,1.0,63.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,shadow_kv,,,41.30947817202468,38.13276799974119,56.52415795075285,1.031425173795417,1.0261709497766498,0.984375,,,0.0,63.0,63.0,63.0,1.0,0.0,2094.842547106964,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,reactive_prefix_cache,,,42.364505593667445,39.48060649963736,62.152873600462016,1.0057390049973212,0.9332384086134717,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,strict_reactive_prefix_cache,,,41.64033167214143,39.0368105017842,59.88317560077118,1.0232299790129737,0.9686101023824537,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,greedy_prefix_cache,,,42.034765359545645,39.07757149863755,61.87958175114542,1.0136284891454213,0.9373600662479552,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,frequency_speculative,,,43.42941607819739,40.31060099896422,62.11375094862887,0.9810777935918092,0.9338262134196522,0.96875,,,0.0,62.0,62.0,62.0,1.0,0.0,3172.58488801599,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,idle_energy_baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_oasst1_rag_cuda.json
,,,,gpu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/run_manifest.json
,,,,env,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/run_manifest.json
,,,,config_snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/main_hf/run_manifest.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,vllm_apc,vllm,True,87.42114901556874,38.46746100043674,67.05487464951145,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,0.0,0.0,0.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/runtime/vllm_apc/benchmark_vllm_apc_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_oasst1_rag.json
Qwen/Qwen2.5-1.5B-Instruct,oasst1,rag,42.0,vllm_apc_shadowkv_plus,vllm,True,37.613311203017474,37.417788499624294,49.96154019954701,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,64.0,63.0,1.0,0.0,,,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/oasst1/runtime/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_oasst1_rag.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,rag,42.0,no_cache,,,48.63612276579943,46.265085498816916,75.89132490056723,1.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,rag,42.0,shadow_kv_plus_lite,,,47.85986325012459,46.96968050029682,71.57108029887239,1.0162194261111437,1.0603629927570466,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_rag_cuda.json
Qwen/Qwen2.5-1.5B-Instruct,samsum,rag,42.0,shadow_kv_plus,,,43.90323007817187,39.2067254988433,62.54201904903311,1.1078028354451461,1.2134453932654177,0.984375,,,0.0,63.0,63.0,0.0,0.0,0.0,0.0,64.0,1.0,63.0,0.0,,,,,,True,False,results_n512/Qwen_Qwen2_5-1_5B-Instruct/rag/seed_42/samsum/main_hf/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_samsum_rag_cuda.json
