         211833 function calls (211493 primitive calls) in 0.546 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46/45    0.001    0.000    0.545    0.012 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2171(serve_tokens)
       45    0.002    0.000    0.471    0.010 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:101(prefill)
       27    0.000    0.000    0.283    0.010 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:595(_prefill_with_cache_fallback)
       18    0.000    0.000    0.189    0.010 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:589(_prefill_full)
       10    0.000    0.000    0.106    0.011 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2164(_fast_bypass_request)
       35    0.001    0.000    0.045    0.001 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1671(_plan_for_request)
       35    0.000    0.000    0.040    0.001 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1627(_semantic_best_match)
       15    0.003    0.000    0.039    0.003 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:126(query)
     1223    0.020    0.000    0.037    0.000 {built-in method builtins.sum}
     1124    0.001    0.000    0.034    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:59(cosine)
       45    0.001    0.000    0.017    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1615(_observe_request)
   144996    0.015    0.000    0.015    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:61(<genexpr>)
      454    0.001    0.000    0.010    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:102(add)
       83    0.005    0.000    0.009    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:41(sketch)
