         24895 function calls (24686 primitive calls) in 0.494 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    46/45    0.001    0.000    0.493    0.011 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2229(serve_tokens)
       45    0.002    0.000    0.473    0.011 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\models.py:101(prefill)
       26    0.000    0.000    0.273    0.011 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:589(_prefill_full)
       19    0.000    0.000    0.200    0.011 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:595(_prefill_with_cache_fallback)
       10    0.000    0.000    0.105    0.011 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2222(_fast_bypass_request)
       45    0.000    0.000    0.007    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1615(_observe_request)
       45    0.001    0.000    0.007    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:389(_observe_request)
       35    0.001    0.000    0.004    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1729(_plan_for_request)
       45    0.002    0.000    0.004    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:187(observe_query)
       16    0.000    0.000    0.003    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\controller.py:46(plan)
       16    0.000    0.000    0.003    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\utility_policy.py:36(plan)
       16    0.000    0.000    0.003    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\utility.py:62(admission)
       45    0.000    0.000    0.003    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:264(_record)
     6866    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       16    0.001    0.000    0.002    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:64(token_entropy)
       55    0.000    0.000    0.002    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:357(_tracked_prefix_lengths)
      850    0.001    0.000    0.002    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:517(_decayed_frequency_unlocked)
       35    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:91(default_prefix_lengths)
       45    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:145(_on_request_finish)
       35    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:497(_default_prefix_lengths)
      369    0.001    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\config_loader.py:194(get)
       45    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:211(peek_match)
       45    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2200(_is_raw_conservative_bypass_active)
       45    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:150(_maybe_auto_disable)
       45    0.001    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:401(_find_match_unlocked)
       10    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2143(_raw_reuse_evidence_strong)
       90    0.001    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\cache.py:380(snapshot_metrics)
       17    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
       45    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\controller.py:43(update_feedback)
       45    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\utility_policy.py:31(update_feedback)
     1296    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\semantic.py:71(<genexpr>)
       45    0.000    0.000    0.001    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:368(_safe_trace_metadata)
       35    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
     2507    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       19    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:553(_should_attempt_cache_use)
       46    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:630(set)
      294    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:334(_shared_prefix_hint)
       78    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:348(_has_scaffold_hint)
      549    0.000    0.000    0.000    0.000 {built-in method time.time}
     1494    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       45    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1251(_after_record)
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1969(_store_scaffold_bypass_prefix_from_prefill)
        1    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1923(_store_prefix_from_prefill)
       46    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:438(notify_all)
       35    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:1717(_record_plan)
      101    0.000    0.000    0.000    0.000 C:\shadowkv\robust_policy_upgrade_v6\src\proactive_kv_cache\engines.py:2140(_is_raw_prompt)
       45    0.000    0.000    0.000    0.000 C:\Python314\Lib\threading.py:641(clear)
     1096    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
