model,dataset,mode,arm,requests,prompt_tokens,cache_evidence_tokens,mean_latency_ms,p95_latency_ms,throughput_rps,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,energy_source,energy_error,reuse_failures,idle_stable,admission_enabled,admission_plans,admission_allows,admission_bypasses,admission_reset_failures,admission_mode,source_file
google/gemma-4-12B-it,ag_news,rag,lmcache,256,43476,0.0,25.57474581249153,27.005740001186496,39.09922932777232,3826.806,3258.7290942492323,14.9484609375,nvml,,0,True,False,0,0,0,0,write_through_admission,results_full/gemma4_12b/ag_news/rag/lmcache/benchmark_lmcache_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,rag,lmcache_shadowkv_plus,256,43476,0.0,25.80737601550709,27.849834003063734,38.74728409788284,3819.752,3244.0453880376544,14.92090625,nvml,,0,True,True,256,255,1,0,write_through_admission,results_full/gemma4_12b/ag_news/rag/lmcache_shadowkv_plus/benchmark_lmcache_shadowkv_plus_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,rag,sglang_radix_attention,256,46804,30393.0,43.65173311776971,45.173645252361894,22.907858030203105,4924.367,3886.594666598816,19.23580859375,nvml,,0,True,False,0,0,0,0,write_through_admission,results_full/gemma4_12b/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,rag,sglang_radix_attention_shadowkv_plus,256,46804,30393.0,43.69839133988762,45.44985300162807,22.883467006637492,4877.073,3915.956727863406,19.05106640625,nvml,,0,True,True,256,255,1,0,write_through_admission,results_full/gemma4_12b/ag_news/rag/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,rag,vllm_apc,256,43476,17472.0,22.102630015581326,24.492711512721144,45.24140197979684,2969.272,2483.817363622233,11.59871875,nvml,,0,True,False,0,0,0,0,write_through_admission,results_full/gemma4_12b/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,rag,vllm_apc_shadowkv_plus,256,43476,17472.0,24.9467335156055,27.595075249337242,40.08367168968843,3095.99,2491.8138572813914,12.0937109375,nvml,,0,True,True,256,255,1,0,write_through_admission,results_full/gemma4_12b/ag_news/rag/vllm_apc_shadowkv_plus/benchmark_vllm_apc_shadowkv_plus_google_gemma-4-12B-it_public_dataset_ag_news_rag.json
google/gemma-4-12B-it,ag_news,templated,lmcache,256,40916,0.0,25.393438543005686,26.764026009914232,39.37851100051329,3762.515,3178.349859764851,14.69732421875,nvml,,0,True,False,0,0,0,0,write_through_admission,results_full/gemma4_12b/ag_news/templated/lmcache/benchmark_lmcache_google_gemma-4-12B-it_public_dataset_ag_news_templated.json
google/gemma-4-12B-it,ag_news,templated,lmcache_shadowkv_plus,256,40916,0.0,26.09290025790756,28.240824498425354,38.32305027739823,3771.006,3174.0350887167565,14.7304921875,nvml,,0,True,True,256,255,1,0,write_through_admission,results_full/gemma4_12b/ag_news/templated/lmcache_shadowkv_plus/benchmark_lmcache_shadowkv_plus_google_gemma-4-12B-it_public_dataset_ag_news_templated.json
google/gemma-4-12B-it,ag_news,templated,sglang_radix_attention,256,44244,27843.0,43.97446991436027,46.44480750357616,22.73944309967934,4912.814,3887.8100709737673,19.1906796875,nvml,,0,True,False,0,0,0,0,write_through_admission,results_full/gemma4_12b/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-12B-it_public_dataset_ag_news_templated.json
google/gemma-4-12B-it,ag_news,templated,sglang_radix_attention_shadowkv_plus,256,44244,27843.0,41.05943943369539,43.19855350331636,24.3540317358011,4786.091,3860.1041329825493,18.69566796875,nvml,,0,True,True,256,255,1,0,write_through_admission,results_full/gemma4_12b/ag_news/templated/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_google_gemma-4-12B-it_public_dataset_ag_news_templated.json
