model,arm,cells,mean_latency_ms,mean_p95_latency_ms,mean_throughput_rps,mean_gpu_energy_j,total_cache_evidence_tokens,total_allows,total_bypasses
google/gemma-4-E2B-it,vllm_apc,10,8.848252325091721,10.692671550714294,115.16052014795336,796.3111,299136.0,0,0
google/gemma-4-E2B-it,vllm_apc_shadowkv_plus,10,8.813673130134703,10.870123051063274,115.35898695756973,774.9679,299136.0,2550,10
google/gemma-4-E2B-it,sglang_radix_attention,10,22.869534171104533,25.99155687385064,43.89917152953799,1548.2556,325867.0,0,0
google/gemma-4-E2B-it,sglang_radix_attention_shadowkv_plus,10,22.906700673755154,26.05169705057051,43.88321700103232,1526.0191,325867.0,2550,10
google/gemma-4-E2B-it,lmcache,10,10.762101496072773,12.763073049063678,94.75804798529008,1087.0045,13312.0,0,0
google/gemma-4-E2B-it,lmcache_shadowkv_plus,10,11.113413059223376,13.56935732292186,92.1386399557556,1098.914,13312.0,2550,10
google/gemma-4-E4B-it,vllm_apc,10,12.633743545256948,15.496668224113819,80.59561226197533,1396.7963,299136.0,0,0
google/gemma-4-E4B-it,vllm_apc_shadowkv_plus,10,13.351422378138977,16.37204569669848,76.32222266440219,1423.4033000000002,299136.0,2550,10
google/gemma-4-E4B-it,sglang_radix_attention,10,29.57323386270332,33.67658150091302,33.97406005808016,2525.1177,325867.0,0,0
google/gemma-4-E4B-it,sglang_radix_attention_shadowkv_plus,10,28.566010967523425,32.786173075510305,35.26664247324949,2455.292,325867.0,2550,10
google/gemma-4-E4B-it,lmcache,10,15.357180136106763,18.662748501083115,66.71848546884041,1930.7297999999998,13312.0,0,0
google/gemma-4-E4B-it,lmcache_shadowkv_plus,10,16.617621705086094,20.435849700152176,61.81406498882224,1989.7261999999998,13312.0,2550,10
google/gemma-4-12B-it,vllm_apc,10,25.515524593635064,32.134887928987155,40.504640451089095,3481.4656000000004,252480.0,0,0
google/gemma-4-12B-it,vllm_apc_shadowkv_plus,10,28.58123839495761,35.70480702492205,36.157610843668905,3606.5566,252480.0,2550,10
google/gemma-4-12B-it,sglang_radix_attention,10,47.787555427214556,54.7399514249264,21.127937718275696,5668.3813,325867.0,0,0
google/gemma-4-12B-it,sglang_radix_attention_shadowkv_plus,10,46.15723288172262,52.87584634970699,21.948507161052202,5580.7051,325867.0,2550,10
google/gemma-4-12B-it,lmcache,10,30.285174280567162,37.53291182474641,33.96667640768777,4459.394200000001,13312.0,0,0
google/gemma-4-12B-it,lmcache_shadowkv_plus,10,30.927346205081108,38.722273399616824,33.284730201418405,4473.277599999999,13312.0,2550,10
google/gemma-4-26B-A4B-it,vllm_apc,10,28.676245796282274,34.88317597475543,35.4196772285214,3070.6223,299136.0,0,0
google/gemma-4-26B-A4B-it,vllm_apc_shadowkv_plus,10,28.74093990747042,35.33590552488022,35.37916694211665,3060.6133,299136.0,2550,10
google/gemma-4-26B-A4B-it,sglang_radix_attention,10,45.33818514078689,56.0040362237487,22.495529898474043,4157.2741000000005,325867.0,0,0
google/gemma-4-26B-A4B-it,sglang_radix_attention_shadowkv_plus,10,45.761591590616035,56.70380237461359,22.302187641141042,4163.4474,325867.0,2550,10
google/gemma-4-26B-A4B-it,lmcache,10,35.70781224723021,40.02635109973198,28.25770506639545,4159.1304,13312.0,0,0
google/gemma-4-26B-A4B-it,lmcache_shadowkv_plus,10,33.44234944565869,37.92047667739098,30.116666673550178,4020.8079,13312.0,2550,10
google/gemma-4-31B-it,vllm_apc,10,60.46687776866975,76.4575766010239,17.06940547575917,8390.488800000001,299072.0,0,0
google/gemma-4-31B-it,vllm_apc_shadowkv_plus,10,57.68306604537656,73.15804140125692,17.990362649363828,8171.762,299072.0,2550,10
google/gemma-4-31B-it,sglang_radix_attention,10,110.12866661405383,126.72256462446967,9.190023622035735,14621.045900000001,325797.0,0,0
google/gemma-4-31B-it,sglang_radix_attention_shadowkv_plus,10,104.85248580623363,121.89015270123491,9.684980208190812,14269.5729,325797.0,2550,10
google/gemma-4-31B-it,lmcache,10,71.06162123170634,91.4844592265581,14.631515830199026,10860.9864,13312.0,0,0
google/gemma-4-31B-it,lmcache_shadowkv_plus,10,73.57387416563768,94.16645995006547,14.106843264888735,11180.675,13312.0,2550,10
