block_index	model_slug	model	arm
1	gemma4_12b	google/gemma-4-12B-it	lmcache_shadowkv_plus
2	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	lmcache
3	gemma4_e2b	google/gemma-4-E2B-it	vllm_apc
4	gemma4_31b	google/gemma-4-31B-it	sglang_radix_attention
5	gemma4_12b	google/gemma-4-12B-it	vllm_apc_shadowkv_plus
6	gemma4_e2b	google/gemma-4-E2B-it	sglang_radix_attention_shadowkv_plus
7	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	vllm_apc_shadowkv_plus
8	gemma4_31b	google/gemma-4-31B-it	sglang_radix_attention_shadowkv_plus
9	gemma4_31b	google/gemma-4-31B-it	lmcache_shadowkv_plus
10	gemma4_e4b	google/gemma-4-E4B-it	vllm_apc
11	gemma4_12b	google/gemma-4-12B-it	sglang_radix_attention_shadowkv_plus
12	gemma4_e4b	google/gemma-4-E4B-it	vllm_apc_shadowkv_plus
13	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	sglang_radix_attention_shadowkv_plus
14	gemma4_e4b	google/gemma-4-E4B-it	sglang_radix_attention_shadowkv_plus
15	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	lmcache_shadowkv_plus
16	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	sglang_radix_attention
17	gemma4_12b	google/gemma-4-12B-it	lmcache
18	gemma4_e2b	google/gemma-4-E2B-it	lmcache
19	gemma4_12b	google/gemma-4-12B-it	sglang_radix_attention
20	gemma4_e2b	google/gemma-4-E2B-it	lmcache_shadowkv_plus
21	gemma4_31b	google/gemma-4-31B-it	lmcache
22	gemma4_31b	google/gemma-4-31B-it	vllm_apc_shadowkv_plus
23	gemma4_e2b	google/gemma-4-E2B-it	sglang_radix_attention
24	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	vllm_apc
25	gemma4_31b	google/gemma-4-31B-it	vllm_apc
26	gemma4_e4b	google/gemma-4-E4B-it	lmcache_shadowkv_plus
27	gemma4_e4b	google/gemma-4-E4B-it	sglang_radix_attention
28	gemma4_12b	google/gemma-4-12B-it	vllm_apc
29	gemma4_e2b	google/gemma-4-E2B-it	vllm_apc_shadowkv_plus
30	gemma4_e4b	google/gemma-4-E4B-it	lmcache
