block_index	model_slug	model	arm
1	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	lmcache
2	gemma4_12b	google/gemma-4-12B-it	sglang_radix_attention_shadowkv_plus
3	gemma4_e4b	google/gemma-4-E4B-it	vllm_apc_shadowkv_plus
4	gemma4_e4b	google/gemma-4-E4B-it	lmcache
5	gemma4_12b	google/gemma-4-12B-it	vllm_apc_shadowkv_plus
6	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	sglang_radix_attention_shadowkv_plus
7	gemma4_e4b	google/gemma-4-E4B-it	lmcache_shadowkv_plus
8	gemma4_e2b	google/gemma-4-E2B-it	lmcache
9	gemma4_12b	google/gemma-4-12B-it	sglang_radix_attention
10	gemma4_e2b	google/gemma-4-E2B-it	sglang_radix_attention
11	gemma4_e2b	google/gemma-4-E2B-it	vllm_apc
12	gemma4_31b	google/gemma-4-31B-it	vllm_apc
13	gemma4_12b	google/gemma-4-12B-it	vllm_apc
14	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	sglang_radix_attention
15	gemma4_31b	google/gemma-4-31B-it	vllm_apc_shadowkv_plus
16	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	vllm_apc_shadowkv_plus
17	gemma4_e4b	google/gemma-4-E4B-it	vllm_apc
18	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	vllm_apc
19	gemma4_31b	google/gemma-4-31B-it	sglang_radix_attention_shadowkv_plus
20	gemma4_e2b	google/gemma-4-E2B-it	lmcache_shadowkv_plus
21	gemma4_e2b	google/gemma-4-E2B-it	sglang_radix_attention_shadowkv_plus
22	gemma4_31b	google/gemma-4-31B-it	lmcache
23	gemma4_12b	google/gemma-4-12B-it	lmcache_shadowkv_plus
24	gemma4_31b	google/gemma-4-31B-it	lmcache_shadowkv_plus
25	gemma4_12b	google/gemma-4-12B-it	lmcache
26	gemma4_e4b	google/gemma-4-E4B-it	sglang_radix_attention_shadowkv_plus
27	gemma4_26b_a4b	google/gemma-4-26B-A4B-it	lmcache_shadowkv_plus
28	gemma4_31b	google/gemma-4-31B-it	sglang_radix_attention
29	gemma4_e4b	google/gemma-4-E4B-it	sglang_radix_attention
30	gemma4_e2b	google/gemma-4-E2B-it	vllm_apc_shadowkv_plus
