model_slug,model_params_B,dataset,mode,engine,seed,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_no_cache_pct
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,42,11.266248,10.928261,11.604235,88.754899,0,1165.576,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,42,9.319913,9.040316,9.59951,107.290132,0,927.128,17.2758
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,42,9.300177,9.021172,9.579182,107.517819,0,925.754,17.451
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,123,11.138461,10.804307,11.472615,89.773149,0,1155.847,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,123,9.208289,8.93204,9.484538,106.262162,0,918.8,17.3289
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,123,9.188237,8.91259,9.463884,108.827696,0,917.4,17.5089
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,456,11.065953,10.733974,11.397932,90.361375,0,1148.305,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,456,9.208872,8.932606,9.485138,106.267531,0,918.844,16.7819
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,456,9.194571,8.918734,9.470408,108.75273,0,917.845,16.9112
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,789,11.065033,10.733082,11.396984,90.368883,0,1148.191,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,789,9.209455,8.933171,9.485739,106.272899,0,918.887,16.7697
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,789,9.19528,8.919422,9.471138,108.744341,0,917.897,16.8979
gemma4_e2b,2.3,ag_news,rag,lmcache_no_cache,999,11.1351,10.801047,11.469153,89.800244,0,1155.45,0.0
gemma4_e2b,2.3,ag_news,rag,lmcache,999,9.209823,8.933528,9.486118,106.276285,0,918.915,17.2902
gemma4_e2b,2.3,ag_news,rag,lmcache_meritkv,999,9.190177,8.914472,9.465882,108.804723,0,917.543,17.4666
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,42,11.374459,11.033225,11.715693,87.910255,0,1145.399,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,42,9.414309,9.13188,9.696738,106.214019,0,911.551,17.2329
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,42,9.394836,9.112991,9.676681,106.434172,0,910.231,17.4041
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,123,11.183147,10.847653,11.518641,89.414147,0,1129.546,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,123,9.301555,9.022508,9.580602,105.196359,0,903.363,16.8252
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,123,9.286652,9.008052,9.565252,107.674066,0,902.35,16.9585
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,456,11.244524,10.907188,11.58186,88.926094,0,1135.728,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,456,9.302144,9.02308,9.581208,105.201674,0,903.406,17.274
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,456,9.282474,9.004,9.560948,107.722535,0,902.069,17.4489
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,789,11.243598,10.90629,11.580906,88.933415,0,1135.616,0.0
gemma4_e2b,2.3,ag_news,templated,lmcache,789,9.302732,9.02365,9.581814,105.206989,0,903.449,17.262
gemma4_e2b,2.3,ag_news,templated,lmcache_meritkv,789,9.28319,9.004694,9.561686,107.714224,0,902.12,17.4358
gemma4_e2b,2.3,ag_news,templated,lmcache_no_cache,999,11.179742,10.84435,11.515134,89.441381,0,1129.155,0.0
