rep,source_root,phase,dataset,mode,baseline,seed,path,n_requests,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,prompt_tokens_total,total_tokens_total,cached_tokens_total_response_usage,vllm_prefix_cache_queries_delta,vllm_prefix_cache_hits_delta,vllm_prompt_tokens_cached_delta,vllm_local_cache_hit_tokens_delta,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,idle_adjusted_joules_per_request,gpu_joules_per_prompt_token,energy_source,energy_error,admission_controller_enabled,admission_selected_preset,admission_allow_total,admission_bypass_total,admission_write_through_bypass_total,admission_bypass_store_successes
1,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,24.105733,22.177274,24.828905,28.553241,41.481788,40000,40256,0,0.0,0.0,0.0,0.0,1595.707,1372.308,6.23323,5.360578,0.039893,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,23.556816,21.672271,24.174761,27.800975,42.448389,40000,40256,0,0.0,0.0,0.0,0.0,1568.88,1349.237,6.128438,5.270456,0.039222,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,23.686682,21.791747,24.308508,27.954784,42.215659,40000,40256,0,0.0,0.0,0.0,0.0,1577.478,1356.631,6.162023,5.29934,0.039437,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,23.685503,21.790663,24.307773,27.953939,42.217761,40000,40256,0,0.0,0.0,0.0,0.0,1577.349,1356.52,6.16152,5.298907,0.039434,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,23.682734,21.788115,24.30523,27.951014,42.222698,40000,40256,0,0.0,0.0,0.0,0.0,1577.132,1356.334,6.160672,5.298178,0.039428,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.808164,18.223511,20.402409,23.46277,50.481655,40000,40256,30796,40000.0,24400.0,30796.0,30796.0,1260.793,1084.282,4.924973,4.235476,0.03152,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.452304,17.89612,19.962572,22.956958,49.756141,40000,40256,30796,40000.0,24400.0,30796.0,30796.0,1245.693,1071.296,4.865988,4.18475,0.031142,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.454162,17.897829,19.964869,22.959599,49.759931,40000,40256,30796,40000.0,24400.0,30796.0,30796.0,1245.772,1071.364,4.866297,4.185015,0.031144,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.45602,17.899538,19.967166,22.962241,49.76372,40000,40256,30796,40000.0,24400.0,30796.0,30796.0,1245.851,1071.432,4.866605,4.185281,0.031146,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.457192,17.900617,19.968615,22.963907,49.766109,40000,40256,30796,40000.0,24400.0,30796.0,30796.0,1245.901,1071.475,4.866801,4.185449,0.031148,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention_meritkv,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/ag_news/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.612321,18.043335,20.20069,23.230794,50.985751,40000,40256,31270,40000.0,24400.0,31270.0,31270.0,1252.067,1076.778,4.890887,4.206163,0.031302,nvml,,True,balanced,200,56,56,0
2,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention_meritkv,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/ag_news/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.300626,17.756576,19.806922,22.77796,51.809144,40000,40256,31270,40000.0,24400.0,31270.0,31270.0,1238.894,1065.449,4.83943,4.16191,0.030972,nvml,,True,balanced,200,56,56,0
3,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention_meritkv,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/ag_news/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.257738,17.717119,19.763294,22.727788,51.924526,40000,40256,31270,40000.0,24400.0,31270.0,31270.0,1236.967,1063.792,4.831902,4.155436,0.030924,nvml,,True,balanced,200,56,56,0
4,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention_meritkv,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/ag_news/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.260784,17.719921,19.766806,22.731827,51.916314,40000,40256,31270,40000.0,24400.0,31270.0,31270.0,1237.099,1063.905,4.832418,4.155879,0.030927,nvml,,True,balanced,200,56,56,0
5,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention_meritkv,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/ag_news/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.263415,17.722342,19.76975,22.735212,51.909223,40000,40256,31270,40000.0,24400.0,31270.0,31270.0,1237.215,1064.005,4.832871,4.156269,0.03093,nvml,,True,balanced,200,56,56,0
1,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_no_cache,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/ag_news/templated/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,23.962314,22.045329,24.681183,28.38336,41.730412,40000,40256,0,0.0,0.0,0.0,0.0,1575.62,1355.033,6.154766,5.293098,0.03939,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_no_cache,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/ag_news/templated/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,23.54705,21.663286,24.164738,27.789449,42.466348,40000,40256,0,0.0,0.0,0.0,0.0,1557.757,1339.671,6.084988,5.23309,0.038944,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_no_cache,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/ag_news/templated/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,23.545849,21.662181,24.163977,27.788574,42.468515,40000,40256,0,0.0,0.0,0.0,0.0,1557.627,1339.559,6.08448,5.232653,0.038941,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_no_cache,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/ag_news/templated/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,23.544649,21.661077,24.163218,27.787701,42.470678,40000,40256,0,0.0,0.0,0.0,0.0,1557.497,1339.447,6.083973,5.232216,0.038937,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_no_cache,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/ag_news/templated/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,23.541863,21.658514,24.160656,27.784754,42.475705,40000,40256,0,0.0,0.0,0.0,0.0,1557.281,1339.262,6.083129,5.231491,0.038932,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.846739,18.259,20.442141,23.508462,50.383956,40000,40256,28201,40000.0,24400.0,28201.0,28201.0,1254.812,1079.138,4.901609,4.215384,0.03137,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.490185,17.93097,20.001448,23.001665,49.659847,40000,40256,28201,40000.0,24400.0,28201.0,28201.0,1239.784,1066.214,4.842906,4.164899,0.030995,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.492048,17.932684,20.003749,23.004311,49.663628,40000,40256,28201,40000.0,24400.0,28201.0,28201.0,1239.862,1066.281,4.843211,4.165161,0.030997,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.49391,17.934397,20.006051,23.006959,49.66741,40000,40256,28201,40000.0,24400.0,28201.0,28201.0,1239.941,1066.349,4.84352,4.165427,0.030999,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.495084,17.935477,20.007502,23.008627,49.669795,40000,40256,28201,40000.0,24400.0,28201.0,28201.0,1239.99,1066.391,4.843711,4.165591,0.031,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention_meritkv,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/ag_news/templated/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.718427,18.140953,20.309979,23.356476,50.711816,40000,40256,28598,40000.0,24400.0,28598.0,28598.0,1249.133,1074.254,4.879426,4.196306,0.031228,nvml,,True,balanced,200,56,56,0
2,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention_meritkv,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/ag_news/templated/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.358929,17.810215,19.866754,22.846767,51.65354,40000,40256,28598,40000.0,24400.0,28598.0,28598.0,1233.939,1061.188,4.820074,4.145264,0.030848,nvml,,True,balanced,200,56,56,0
3,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention_meritkv,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/ag_news/templated/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.361977,17.813019,19.87027,22.850811,51.645409,40000,40256,28598,40000.0,24400.0,28598.0,28598.0,1234.071,1061.301,4.82059,4.145707,0.030852,nvml,,True,balanced,200,56,56,0
4,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention_meritkv,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/ag_news/templated/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.365025,17.815823,19.873786,22.854854,51.637281,40000,40256,28598,40000.0,24400.0,28598.0,28598.0,1234.202,1061.414,4.821102,4.146147,0.030855,nvml,,True,balanced,200,56,56,0
5,/home/benchmark/gemma4_sglang_5rep,full,ag_news,templated,sglang_radix_attention_meritkv,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/ag_news/templated/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_ag_news_templated.json,256,19.367651,17.818239,19.876726,22.858235,51.630278,40000,40256,28598,40000.0,24400.0,28598.0,28598.0,1234.316,1061.512,4.821547,4.14653,0.030858,nvml,,True,balanced,200,56,56,0
1,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_no_cache,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/daily_dialog/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,24.827456,22.84126,25.57228,29.408122,40.276262,40000,40256,0,0.0,0.0,0.0,0.0,1690.561,1453.882,6.603754,5.679228,0.042264,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_no_cache,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/daily_dialog/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,24.262193,22.321218,24.898641,28.633437,41.214624,40000,40256,0,0.0,0.0,0.0,0.0,1662.145,1429.445,6.492754,5.583768,0.041554,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_no_cache,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/daily_dialog/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,24.395853,22.444185,25.036296,28.79174,40.988817,40000,40256,0,0.0,0.0,0.0,0.0,1671.248,1437.273,6.528313,5.614349,0.041781,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_no_cache,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/daily_dialog/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,24.394638,22.443067,25.035538,28.790869,40.990857,40000,40256,0,0.0,0.0,0.0,0.0,1671.111,1437.155,6.527777,5.613889,0.041778,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_no_cache,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/daily_dialog/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,24.391792,22.440449,25.032925,28.787864,40.995642,40000,40256,0,0.0,0.0,0.0,0.0,1670.882,1436.959,6.526883,5.613119,0.041772,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,20.386241,18.755342,20.997828,24.147502,49.05059,40000,40256,37963,40000.0,24400.0,37963.0,37963.0,1334.758,1147.892,5.213898,4.483953,0.033369,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,20.019995,18.418395,20.545155,23.626928,48.345644,40000,40256,37963,40000.0,24400.0,37963.0,37963.0,1318.772,1134.144,5.151453,4.43025,0.032969,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,20.021908,18.420155,20.547519,23.629647,48.349325,40000,40256,37963,40000.0,24400.0,37963.0,37963.0,1318.856,1134.216,5.151781,4.430532,0.032971,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,20.023821,18.421915,20.549883,23.632365,48.353007,40000,40256,37963,40000.0,24400.0,37963.0,37963.0,1318.939,1134.288,5.152105,4.430811,0.032973,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,20.025027,18.423025,20.551374,23.63408,48.355329,40000,40256,37963,40000.0,24400.0,37963.0,37963.0,1318.992,1134.333,5.152312,4.430989,0.032975,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention_meritkv,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/daily_dialog/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,20.173035,18.559192,20.778226,23.89496,49.568998,40000,40256,38683,40000.0,24400.0,38683.0,38683.0,1324.986,1139.488,5.175727,4.451125,0.033125,nvml,,True,balanced,200,56,56,0
2,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention_meritkv,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/daily_dialog/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,19.85351,18.265229,20.374309,23.430455,50.366768,40000,40256,38683,40000.0,24400.0,38683.0,38683.0,1311.095,1127.542,5.121465,4.40446,0.032777,nvml,,True,balanced,200,56,56,0
3,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention_meritkv,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/daily_dialog/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,19.808205,18.223549,20.328212,23.377444,50.481968,40000,40256,38683,40000.0,24400.0,38683.0,38683.0,1309.002,1125.742,5.113289,4.397429,0.032725,nvml,,True,balanced,200,56,56,0
4,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention_meritkv,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/daily_dialog/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,19.811371,18.226461,20.331858,23.381637,50.4739,40000,40256,38683,40000.0,24400.0,38683.0,38683.0,1309.144,1125.864,5.113844,4.397906,0.032729,nvml,,True,balanced,200,56,56,0
5,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,rag,sglang_radix_attention_meritkv,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/daily_dialog/rag/sglang_radix_attention_meritkv/benchmark_sglang_radix_attention_meritkv_google_gemma-4-E2B-it_public_dataset_daily_dialog_rag.json,256,19.814116,18.228987,20.334925,23.385164,50.466908,40000,40256,38683,40000.0,24400.0,38683.0,38683.0,1309.267,1125.97,5.114324,4.398319,0.032732,nvml,,True,balanced,200,56,56,0
1,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,templated,sglang_no_cache,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/daily_dialog/templated/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_daily_dialog_templated.json,256,24.789204,22.806068,25.53288,29.362812,40.338441,40000,40256,0,0.0,0.0,0.0,0.0,1698.695,1460.878,6.635527,5.706554,0.042467,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,templated,sglang_no_cache,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/daily_dialog/templated/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_daily_dialog_templated.json,256,24.224463,22.286506,24.859921,28.588909,41.278845,40000,40256,0,0.0,0.0,0.0,0.0,1670.119,1436.302,6.523902,5.610556,0.041753,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,daily_dialog,templated,sglang_no_cache,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/daily_dialog/templated/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_daily_dialog_templated.json,256,24.358301,22.409637,24.997758,28.747422,41.052036,40000,40256,0,0.0,0.0,0.0,0.0,1679.292,1444.191,6.559734,5.641372,0.041982,nvml,,False,,0,0,0,0
