model_slug,model_params_B,dataset,mode,engine,seed,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_no_cache_pct
gemma4_e2b,2.3,ag_news,rag,sglang_no_cache,42,24.105733,23.382561,24.828905,41.481788,0,1595.707,0.0
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention,42,19.808164,19.213919,20.402409,50.481655,30796,1260.793,17.828
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention_meritkv,42,19.612321,19.023951,20.200691,50.985751,31270,1252.067,18.6404
gemma4_e2b,2.3,ag_news,rag,sglang_no_cache,123,23.556816,22.850112,24.26352,42.448389,0,1568.88,0.0
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention,123,19.452304,18.868735,20.035873,49.756141,30796,1245.693,17.4239
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention_meritkv,123,19.300626,18.721607,19.879645,51.809144,31270,1238.894,18.0678
gemma4_e2b,2.3,ag_news,rag,sglang_no_cache,456,23.686682,22.976082,24.397282,42.215659,0,1577.478,0.0
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention,456,19.454162,18.870537,20.037787,49.759931,30796,1245.772,17.8688
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention_meritkv,456,19.257738,18.680006,19.83547,51.924526,31270,1236.967,18.698
gemma4_e2b,2.3,ag_news,rag,sglang_no_cache,789,23.685503,22.974938,24.396068,42.217761,0,1577.349,0.0
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention,789,19.45602,18.872339,20.039701,49.76372,30796,1245.851,17.8568
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention_meritkv,789,19.260784,18.68296,19.838608,51.916314,31270,1237.099,18.6811
gemma4_e2b,2.3,ag_news,rag,sglang_no_cache,999,23.682734,22.972252,24.393216,42.222698,0,1577.132,0.0
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention,999,19.457192,18.873476,20.040908,49.766109,30796,1245.901,17.8423
gemma4_e2b,2.3,ag_news,rag,sglang_radix_attention_meritkv,999,19.263415,18.685513,19.841317,51.909223,31270,1237.215,18.6605
gemma4_e2b,2.3,ag_news,templated,sglang_no_cache,42,23.962314,23.243445,24.681183,41.730412,0,1575.62,0.0
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention,42,19.846739,19.251337,20.442141,50.383956,28201,1254.812,17.1752
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention_meritkv,42,19.718427,19.126874,20.30998,50.711816,28598,1249.133,17.7107
gemma4_e2b,2.3,ag_news,templated,sglang_no_cache,123,23.54705,22.840638,24.253462,42.466348,0,1557.757,0.0
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention,123,19.490185,18.905479,20.074891,49.659847,28201,1239.784,17.2288
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention_meritkv,123,19.358929,18.778161,19.939697,51.65354,28598,1233.939,17.7862
gemma4_e2b,2.3,ag_news,templated,sglang_no_cache,456,23.545849,22.839474,24.252224,42.468515,0,1557.627,0.0
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention,456,19.492048,18.907287,20.076809,49.663628,28201,1239.862,17.2166
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention_meritkv,456,19.361977,18.781118,19.942836,51.645409,28598,1234.071,17.769
gemma4_e2b,2.3,ag_news,templated,sglang_no_cache,789,23.544649,22.83831,24.250988,42.470678,0,1557.497,0.0
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention,789,19.49391,18.909093,20.078727,49.66741,28201,1239.941,17.2045
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention_meritkv,789,19.365025,18.784074,19.945976,51.637281,28598,1234.202,17.7519
gemma4_e2b,2.3,ag_news,templated,sglang_no_cache,999,23.541863,22.835607,24.248119,42.475705,0,1557.281,0.0
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention,999,19.495084,18.910231,20.079937,49.669795,28201,1239.99,17.1897
gemma4_e2b,2.3,ag_news,templated,sglang_radix_attention_meritkv,999,19.367651,18.786621,19.948681,51.630278,28598,1234.316,17.731
gemma4_e2b,2.3,daily_dialog,rag,sglang_no_cache,42,24.827456,24.082632,25.57228,40.276262,0,1690.561,0.0
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention,42,20.386241,19.774654,20.997828,49.05059,37963,1334.758,17.8883
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention_meritkv,42,20.173035,19.567844,20.778226,49.568998,38683,1324.986,18.7471
gemma4_e2b,2.3,daily_dialog,rag,sglang_no_cache,123,24.262193,23.534327,24.990059,41.214624,0,1662.145,0.0
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention,123,20.019995,19.419395,20.620595,48.345644,37963,1318.772,17.4848
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention_meritkv,123,19.85351,19.257905,20.449115,50.366768,38683,1311.095,18.171
gemma4_e2b,2.3,daily_dialog,rag,sglang_no_cache,456,24.395853,23.663977,25.127729,40.988817,0,1671.248,0.0
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention,456,20.021908,19.421251,20.622565,48.349325,37963,1318.856,17.9291
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention_meritkv,456,19.808205,19.213959,20.402451,50.481968,38683,1309.002,18.805
gemma4_e2b,2.3,daily_dialog,rag,sglang_no_cache,789,24.394638,23.662799,25.126477,40.990857,0,1671.111,0.0
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention,789,20.023821,19.423106,20.624536,48.353007,37963,1318.939,17.9171
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention_meritkv,789,19.811371,19.21703,20.405712,50.4739,38683,1309.144,18.788
gemma4_e2b,2.3,daily_dialog,rag,sglang_no_cache,999,24.391792,23.660038,25.123546,40.995642,0,1670.882,0.0
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention,999,20.025027,19.424276,20.625778,48.355329,37963,1318.992,17.9026
gemma4_e2b,2.3,daily_dialog,rag,sglang_radix_attention_meritkv,999,19.814116,19.219693,20.408539,50.466908,38683,1309.267,18.7673
gemma4_e2b,2.3,daily_dialog,templated,sglang_no_cache,42,24.789204,24.045528,25.53288,40.338441,0,1698.695,0.0
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention,42,20.414475,19.802041,21.026909,48.982785,34589,1345.11,17.6477
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention_meritkv,42,20.229255,19.622377,20.836133,49.431275,35187,1336.567,18.3949
gemma4_e2b,2.3,daily_dialog,templated,sglang_no_cache,123,24.224463,23.497729,24.951197,41.278845,0,1670.119,0.0
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention,123,20.047722,19.44629,20.649154,48.278813,34589,1329.001,17.2418
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention_meritkv,123,19.908281,19.311033,20.505529,50.228237,35187,1322.53,17.8175
gemma4_e2b,2.3,daily_dialog,templated,sglang_no_cache,456,24.358301,23.627552,25.08905,41.052036,0,1679.292,0.0
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention,456,20.049637,19.448148,20.651126,48.28249,34589,1329.085,17.6887
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention_meritkv,456,19.863464,19.26756,20.459368,50.341565,35187,1320.445,18.453
gemma4_e2b,2.3,daily_dialog,templated,sglang_no_cache,789,24.357078,23.626366,25.08779,41.054097,0,1679.153,0.0
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention,789,20.051553,19.450006,20.6531,48.286166,34589,1329.169,17.6767
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention_meritkv,789,19.866622,19.270623,20.462621,50.333561,35187,1320.587,18.4359
gemma4_e2b,2.3,daily_dialog,templated,sglang_no_cache,999,24.35422,23.623593,25.084847,41.058914,0,1678.922,0.0
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention,999,20.05276,19.451177,20.654343,48.288485,34589,1329.222,17.6621
gemma4_e2b,2.3,daily_dialog,templated,sglang_radix_attention_meritkv,999,19.869355,19.273274,20.465436,50.326638,35187,1320.711,18.4151
gemma4_e2b,2.3,dolly,rag,sglang_no_cache,42,24.852832,24.107247,25.598417,40.235118,0,1688.448,0.0
gemma4_e2b,2.3,dolly,rag,sglang_radix_attention,42,20.432394,19.819422,21.045366,48.939768,33587,1334.743,17.7865
gemma4_e2b,2.3,dolly,rag,sglang_radix_attention_meritkv,42,20.232837,19.625852,20.839822,49.422462,34151,1325.618,18.5894
