dataset,engine,mean_latency_ms,p95_latency_ms,throughput_rps,gpu_energy_j,mean_speedup_vs_no_cache,p95_speedup_vs_no_cache,mean_latency_improvement_pct,p95_latency_improvement_pct,gpu_energy_improvement_pct,hit_rate,reuse_successes,bypassed_matches
ag_news,no_cache,154.319398,157.485128,4.829341,13183.241,1.0,1.0,0.0,0.0,0.0,0.0,0,0
alpaca_eval,no_cache,153.050402,158.483155,4.829374,13146.686,1.0,1.0,0.0,0.0,0.0,0.0,0,0
banking77,no_cache,154.779769,163.301687,4.82938,13323.8,1.0,1.0,0.0,0.0,0.0,0.0,0,0
cnn_dailymail,no_cache,230.176651,251.876932,3.506209,19441.867,1.0,1.0,0.0,0.0,0.0,0.0,0,0
daily_dialog,no_cache,160.850347,186.788054,4.653754,13842.129,1.0,1.0,0.0,0.0,0.0,0.0,0,0
dolly,no_cache,162.215322,192.756929,4.653756,13923.084,1.0,1.0,0.0,0.0,0.0,0.0,0,0
oasst1,no_cache,165.126046,194.912459,4.570605,14176.419,1.0,1.0,0.0,0.0,0.0,0.0,0,0
samsum,no_cache,176.557442,220.866282,4.338233,15114.17,1.0,1.0,0.0,0.0,0.0,0.0,0,0
ultrachat,no_cache,213.477066,223.674307,3.709467,18077.522,1.0,1.0,0.0,0.0,0.0,0.0,0,0
xsum,no_cache,222.806685,241.840444,3.604978,18507.135,1.0,1.0,0.0,0.0,0.0,0.0,0,0
ag_news,native_prefix_cache,155.323609,158.831021,4.739867,13286.815,0.993535,0.991526,-0.650736,-0.854616,-0.785649,1.0,0,57
alpaca_eval,native_prefix_cache,161.110019,166.247056,4.653743,13543.074,0.949974,0.953299,-5.265989,-4.898881,-3.015117,1.0,0,0
banking77,native_prefix_cache,152.832705,158.542154,4.82931,13295.639,1.01274,1.030021,1.257958,2.914565,0.211359,1.0,0,0
cnn_dailymail,native_prefix_cache,229.83864,249.895549,3.506236,19454.117,1.001471,1.007929,0.146848,0.786647,-0.063008,0.0,0,127
daily_dialog,native_prefix_cache,161.229737,187.501455,4.653687,13910.147,0.997647,0.996195,-0.235865,-0.381931,-0.491384,1.0,0,98
dolly,native_prefix_cache,162.659261,192.915476,4.653756,14073.143,0.997271,0.999178,-0.273673,-0.082252,-1.077771,1.0,0,42
oasst1,native_prefix_cache,165.021666,194.444981,4.570658,14145.301,1.000633,1.002404,0.063212,0.23984,0.219505,1.0,0,87
samsum,native_prefix_cache,176.851603,221.529495,4.338254,15175.128,0.998337,0.997006,-0.166609,-0.300278,-0.403317,1.0,0,122
ultrachat,native_prefix_cache,213.937409,224.802556,3.709515,18038.268,0.997848,0.994981,-0.21564,-0.504416,0.217143,0.0,0,127
xsum,native_prefix_cache,223.43638,242.642413,3.605027,18571.442,0.997182,0.996695,-0.28262,-0.331611,-0.347471,0.0,0,127
ag_news,reactive_prefix_cache,130.366783,133.12219,5.445838,11052.455,1.183732,1.183012,15.521454,15.469993,16.162839,0.992188,127,0
alpaca_eval,reactive_prefix_cache,136.298157,138.949679,5.223524,11103.429,1.122909,1.14058,10.945574,12.32527,15.541993,0.992188,127,0
banking77,reactive_prefix_cache,128.262493,131.450921,5.445831,10887.419,1.206742,1.242302,17.132262,19.504248,18.285932,0.992188,127,0
cnn_dailymail,reactive_prefix_cache,202.939893,222.992464,3.878114,17114.689,1.134211,1.129531,11.83298,11.467691,11.969931,0.992188,127,0
daily_dialog,reactive_prefix_cache,135.66166,160.57699,5.332312,11464.135,1.185673,1.163231,15.659703,14.032516,17.179395,0.992188,127,0
dolly,reactive_prefix_cache,140.376267,173.31461,5.119072,11780.546,1.155575,1.112179,13.463004,10.086444,15.388387,0.992188,127,0
oasst1,reactive_prefix_cache,139.067489,164.239218,5.223545,11816.447,1.187381,1.18676,15.78101,15.736932,16.647166,0.992188,127,0
samsum,reactive_prefix_cache,150.335019,193.078579,4.92222,12872.995,1.174427,1.143919,14.852063,12.581234,14.828304,0.992188,127,0
ultrachat,reactive_prefix_cache,185.297112,195.332046,4.195466,15790.886,1.15208,1.145098,13.20046,12.671219,12.649057,0.992188,127,0
xsum,reactive_prefix_cache,195.105459,224.933433,3.9993,16171.427,1.141981,1.075165,12.432852,6.990977,12.620581,0.992188,127,0
ag_news,greedy_prefix_cache,137.898753,139.479726,5.223567,11229.971,1.119078,1.12909,10.640688,11.433081,14.816311,0.992188,127,0
alpaca_eval,greedy_prefix_cache,136.331904,139.034371,5.223155,11073.679,1.122631,1.139885,10.923525,12.271831,15.768286,0.992188,127,0
banking77,greedy_prefix_cache,136.304862,137.579843,5.223567,11057.957,1.135541,1.186959,11.936254,15.75112,17.005982,0.992188,127,0
cnn_dailymail,greedy_prefix_cache,203.063829,222.540084,3.878121,17105.717,1.133519,1.131827,11.779136,11.647295,12.016078,0.992188,127,0
daily_dialog,greedy_prefix_cache,136.175877,160.569626,5.223514,11639.942,1.181196,1.163284,15.340017,14.036459,15.909308,0.992188,127,0
dolly,greedy_prefix_cache,137.818242,163.789807,5.22349,11696.37,1.177024,1.176855,15.039936,15.027798,15.992965,0.992188,127,0
oasst1,greedy_prefix_cache,139.185553,163.93378,5.119064,11832.785,1.186373,1.188971,15.70951,15.893637,16.531918,0.992188,127,0
samsum,greedy_prefix_cache,150.341528,192.875547,4.922159,12881.231,1.174376,1.145123,14.848376,12.673159,14.773812,0.992188,127,0
ultrachat,greedy_prefix_cache,190.580864,207.380971,4.062769,15921.525,1.120139,1.078567,10.725368,7.284402,11.926397,0.992188,127,0
xsum,greedy_prefix_cache,194.928432,225.074128,3.999289,16204.049,1.143018,1.074492,12.512305,6.932801,12.444314,0.992188,127,0
ag_news,strict_reactive_prefix_cache,138.159116,139.386629,5.223447,11291.482,1.116969,1.129844,10.471971,11.492196,14.349726,0.992188,127,0
alpaca_eval,strict_reactive_prefix_cache,127.624456,130.100997,5.564247,10880.709,1.199225,1.218155,16.612793,17.908628,17.236108,0.992188,127,0
banking77,strict_reactive_prefix_cache,128.572991,133.208193,5.445862,10876.472,1.203828,1.225913,16.931656,18.428158,18.368093,0.992188,127,0
cnn_dailymail,strict_reactive_prefix_cache,203.167793,222.859215,3.877802,17145.593,1.132939,1.130206,11.733969,11.520593,11.810975,0.992188,127,0
daily_dialog,strict_reactive_prefix_cache,137.833644,163.931703,5.223541,11671.43,1.166989,1.139426,14.30939,12.236516,15.681829,0.992188,127,0
dolly,strict_reactive_prefix_cache,139.507158,169.878841,5.018595,11781.643,1.162774,1.134673,13.998779,11.86888,15.380508,0.992188,127,0
oasst1,strict_reactive_prefix_cache,138.886318,163.820208,5.223579,11800.654,1.18893,1.189795,15.890726,15.951905,16.758569,0.992188,127,0
samsum,strict_reactive_prefix_cache,150.203473,194.162745,4.922162,12817.754,1.175455,1.137532,14.926569,12.090364,15.193795,0.992188,127,0
ultrachat,strict_reactive_prefix_cache,197.104969,206.778857,3.999312,16280.717,1.083063,1.081708,7.669254,7.553594,9.939443,0.992188,127,0
xsum,strict_reactive_prefix_cache,195.034645,224.6169,3.999284,16166.495,1.142395,1.07668,12.464635,7.121863,12.64723,0.992188,127,0
ag_news,frequency_speculative,155.386009,158.627098,4.73979,13401.916,0.993136,0.992801,-0.691171,-0.725128,-1.658735,0.0,0,0
alpaca_eval,frequency_speculative,152.993186,158.532031,4.829313,13109.821,1.000374,0.999692,0.037384,-0.030839,0.280413,0.0,0,0
banking77,frequency_speculative,152.234672,157.192626,4.829329,13156.49,1.016718,1.038864,1.644335,3.740967,1.255723,0.0,0,0
cnn_dailymail,frequency_speculative,229.849591,251.063152,3.506224,19484.165,1.001423,1.003241,0.142091,0.323087,-0.217561,0.0,0,0
daily_dialog,frequency_speculative,160.923911,186.730183,4.653693,13843.638,0.999543,1.00031,-0.045735,0.030982,-0.010902,0.0,0,0
dolly,frequency_speculative,162.484612,193.72835,4.653798,14072.707,0.998343,0.994986,-0.166008,-0.503961,-1.07464,0.0,0,0
oasst1,frequency_speculative,164.983476,193.984728,4.570617,14157.392,1.000864,1.004782,0.08634,0.475973,0.134216,0.0,0,0
samsum,frequency_speculative,176.75622,221.46995,4.338237,15187.105,0.998875,0.997274,-0.112586,-0.273318,-0.48256,0.0,0,0
ultrachat,frequency_speculative,226.378718,236.683098,3.554974,18824.551,0.943009,0.945037,-6.043578,-5.815952,-4.132364,0.0,0,0
xsum,frequency_speculative,223.900483,245.14954,3.605004,18659.191,0.995115,0.986502,-0.490918,-1.368297,-0.821607,0.0,0,0
ag_news,shadow_kv,155.51669,159.158713,4.829308,13392.214,0.992301,0.989485,-0.775853,-1.062694,-1.585141,0.0,0,0
alpaca_eval,shadow_kv,153.273148,158.410457,4.922169,13253.007,0.998547,1.000459,-0.145538,0.045871,-0.808729,0.0,0,0
banking77,shadow_kv,152.565874,160.097989,4.922187,13183.115,1.014511,1.020011,1.430352,1.961828,1.055892,0.0,0,0
cnn_dailymail,shadow_kv,230.387186,250.938127,3.554988,19526.159,0.999086,1.003741,-0.091467,0.372724,-0.433559,0.0,0,0
daily_dialog,shadow_kv,166.365104,196.572769,4.570664,14073.205,0.966851,0.950223,-3.428502,-5.238405,-1.669367,0.0,0,0
dolly,shadow_kv,162.691591,194.455838,4.653767,14030.826,0.997073,0.991263,-0.293603,-0.881373,-0.773837,0.0,0,0
oasst1,shadow_kv,165.179269,193.549251,4.653783,14248.013,0.999678,1.007043,-0.032232,0.699395,-0.505022,0.0,0,0
samsum,shadow_kv,177.066511,222.727068,4.413089,15180.993,0.997125,0.991645,-0.288331,-0.842494,-0.442122,0.0,0,0
ultrachat,shadow_kv,226.502459,236.692544,3.605052,18814.501,0.942493,0.944999,-6.101542,-5.820175,-4.07677,0.0,0,0
xsum,shadow_kv,223.754369,243.140623,3.656572,18664.896,0.995765,0.994653,-0.425339,-0.537619,-0.852433,0.0,0,0
ag_news,shadow_kv_plus,135.50579,137.560709,5.332388,11548.929,1.13884,1.144841,12.191343,12.65162,12.396891,0.992188,127,0
alpaca_eval,shadow_kv_plus,134.6,138.652644,5.332432,11346.677,1.137076,1.143023,12.055115,12.512694,13.691732,0.992188,127,0
banking77,shadow_kv_plus,135.019549,137.592635,5.332209,11381.896,1.146351,1.186849,12.766669,15.743286,14.574701,0.992188,127,0
cnn_dailymail,shadow_kv_plus,85.671688,86.021559,7.312665,6699.001,2.686729,2.928068,62.780027,65.847782,65.543427,0.992188,127,0
daily_dialog,shadow_kv_plus,137.107818,144.202549,5.332331,11538.546,1.173167,1.295317,14.760633,22.798837,16.641826,0.992188,127,0
dolly,shadow_kv_plus,134.75024,138.878262,5.332419,11338.53,1.203822,1.387956,16.93125,27.951611,18.563086,0.992188,127,0
oasst1,shadow_kv_plus,134.93832,136.74428,5.332367,11518.794,1.223715,1.425379,18.281626,29.843233,18.746801,0.992188,127,0
samsum,shadow_kv_plus,121.983228,123.567253,5.817199,9902.299,1.447391,1.787418,30.910175,44.053365,34.483342,0.992188,127,0
ultrachat,shadow_kv_plus,116.431846,116.916751,5.952478,9454.365,1.833494,1.913107,45.459319,47.72902,47.70099,0.992188,127,0
xsum,shadow_kv_plus,94.840489,94.742978,6.917704,7280.094,2.349278,2.552595,57.433733,60.824179,60.663312,0.992188,127,0
ag_news,shadow_kv_plus_lite,136.180724,138.903232,5.332402,11483.78,1.133196,1.133776,11.753982,11.799143,12.891071,0.992188,127,0
alpaca_eval,shadow_kv_plus_lite,134.39904,137.388213,5.445838,11340.018,1.138776,1.153543,12.186418,13.310527,13.742383,0.992188,127,0
banking77,shadow_kv_plus_lite,142.057754,143.645717,5.22363,11599.608,1.089555,1.136836,8.21943,12.036599,12.940693,0.992188,127,0
cnn_dailymail,shadow_kv_plus_lite,85.196028,85.738145,7.312959,6633.518,2.70173,2.937746,62.986677,65.960303,65.880242,0.992188,127,0
daily_dialog,shadow_kv_plus_lite,133.962067,135.68737,5.445786,11422.709,1.200716,1.376606,16.716333,27.357576,17.47867,0.992188,127,0
dolly,shadow_kv_plus_lite,134.573701,138.415736,5.445905,11481.692,1.205401,1.392594,17.040081,28.191564,17.534851,0.992188,127,0
oasst1,shadow_kv_plus_lite,135.018871,136.979643,5.332358,11499.103,1.222985,1.42293,18.232845,29.722479,18.8857,0.992188,127,0
samsum,shadow_kv_plus_lite,121.829732,123.253286,5.817092,9812.698,1.449215,1.791971,30.997113,44.195517,35.07617,0.992188,127,0
ultrachat,shadow_kv_plus_lite,115.855117,116.182488,5.952367,9412.315,1.842621,1.925198,45.729478,48.057294,47.9336,0.992188,127,0
xsum,shadow_kv_plus_lite,93.552209,94.127787,6.917581,7190.019,2.381629,2.569278,58.011938,61.078559,61.150016,0.992188,127,0
ag_news,shadow_kv_plus_best_latency,135.662561,138.565994,5.332377,11597.965,1.137524,1.136535,12.089755,12.013283,12.024934,0.992188,127,0
alpaca_eval,shadow_kv_plus_best_latency,140.114068,144.808461,5.223682,11498.815,1.092327,1.094433,8.452336,8.628484,12.534497,0.992188,127,0
banking77,shadow_kv_plus_best_latency,142.963374,145.048272,5.119037,11564.273,1.082653,1.125844,7.634328,11.177726,13.205895,0.992188,127,0
cnn_dailymail,shadow_kv_plus_best_latency,85.765582,86.056089,7.312846,6687.571,2.683788,2.926893,62.739235,65.834073,65.602218,0.992188,127,0
