dataset,energy_reduction_vs_no_cache_pct,engine,engine_gpu_joules_per_request,engine_idle_adjusted_joules_per_request,engine_mean_latency_ms,engine_p95_latency_ms,fast_exact_path_hits,hit_rate,idle_adjusted_energy_reduction_vs_no_cache_pct,model,no_cache_gpu_joules_per_request,no_cache_idle_adjusted_joules_per_request,no_cache_mean_latency_ms,no_cache_p95_latency_ms,policy_exact_total,policy_semantic_partial_total,prompt_mode,reuse_successes,reused_prefix_tokens_total,seed,semantic_blocked_by_backend_total,semantic_opportunity_plans_total,semantic_partial_hits,semantic_partial_reused_tokens_total,semantic_quality_divergence_events,semantic_quality_divergence_sum,source_json,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,wasted_compute_ratio
ag_news,-1.6587347527061007,frequency_speculative,104.70246875,90.60426296903658,155.38600861816576,158.6270977073582,,0.0,2.4195112338888616,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/frequency_speculative/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,0.9931357351810529,0.992800917598781,0.0
ag_news,14.816311102861585,greedy_prefix_cache,87.7341484375,77.02052761098444,137.8987528514699,139.47972635360202,,0.9921875,17.049148869826773,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,,,semantic,127,16256,42,,,,,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/greedy_prefix_cache/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,1.1190775457706146,1.129089741405488,0.0
ag_news,-0.7856489917767605,native_prefix_cache,103.8032421875,92.15729470547151,155.32360910094667,158.8310209546762,,1.0,0.7469012380171152,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,,,semantic,0,8960,42,,,,,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/native_prefix_cache/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,0.9935347163196385,0.9915262598786445,0.0
ag_news,16.162838864889142,reactive_prefix_cache,86.3473046875,76.47273061468798,130.36678332787233,133.1221903048572,,0.9921875,17.639124406203962,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,,,semantic,127,16256,42,,,,,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/reactive_prefix_cache/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,1.1837324966263711,1.1830118464791408,0.0
ag_news,-1.5851413169189577,shadow_kv,104.626671875,92.24705952230283,155.51668974137556,159.15871285105823,,0.0,0.6502248299391196,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,,,semantic,0,0,42,,,,,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,0.9923012003565972,0.9894848063220537,0.0
ag_news,12.39689087076539,shadow_kv_plus,90.2260078125,79.61115836112802,135.50579034335897,137.5607087429671,127,0.9921875,14.25904819986251,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,1.1388398792023617,1.144840918595138,0.0
ag_news,12.024933777665142,shadow_kv_plus_best_latency,90.6091015625,80.21299834860753,135.66256085903206,138.5659944578947,127,0.9921875,13.610868542385353,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus_best_latency/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,1.1375238454049668,1.136535185100922,0.0
ag_news,12.891071323053255,shadow_kv_plus_lite,89.71703125,78.43125405259569,136.18072363999545,138.90323194427765,0,0.9921875,15.52980120144227,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,0,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus_lite/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,1.133195607873307,1.1337758377218563,0.0
ag_news,12.30268034999891,shadow_kv_plus_raw_observer,90.3230390625,79.66044166358009,136.22340595316018,139.00458770003752,127,0.9921875,14.205970247637191,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,127,0,semantic,127,16256,42,0,0,0,0,0,0.0,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/shadow_kv_plus_raw_observer/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,1.13284054840703,1.1329491404969951,0.0
ag_news,14.349726292646853,strict_reactive_prefix_cache,88.214703125,75.28341465199627,138.15911557958316,139.3866285936383,,0.9921875,18.92001372789576,google/gemma-4-31B-it,102.9940703125,92.85079846874333,154.31939790585147,157.4851281598967,,,semantic,127,16256,42,,,,,,,results_blackwell_semantic_gemma31_all_engines_longprefix_n128_20260714/google_gemma-4-31B-it/semantic/seed_42/ag_news/strict_reactive_prefix_cache/benchmark_hf_google_gemma-4-31B-it_public_dataset_ag_news_semantic_cuda.json,1.1169686289498544,1.129843872033249,0.0
