engine,cells,mean_latency_ms,p95_latency_ms,throughput_rps,gpu_energy_j_total,aggregate_mean_speedup_vs_no_cache,aggregate_p95_speedup_vs_no_cache,aggregate_mean_latency_improvement_pct,aggregate_p95_latency_improvement_pct,aggregate_throughput_change_pct,aggregate_gpu_energy_improvement_pct,mean_paired_speedup,mean_paired_latency_improvement_pct,mean_paired_p95_improvement_pct,mean_paired_energy_improvement_pct,mean_latency_wins,p95_latency_wins,mean_hit_rate,reuse_attempts_total,reuse_successes_total,reused_prefix_tokens_total,bypassed_matches_total,wasted_compute_ratio_mean
no_cache,10,179.335913,199.198538,4.35251,152736.053,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0.0
native_prefix_cache,10,180.224103,199.735216,4.326005,153493.074,0.995072,0.997313,-0.495266,-0.269419,-0.608951,-0.49564,0.994664,-0.562311,-0.341293,-0.553571,3,3,0.7,1270,0,61824,787,0.0
reactive_prefix_cache,10,154.371033,173.799013,4.878522,130054.428,1.16172,1.146143,13.920736,12.750859,12.085268,14.85021,1.164471,14.082136,13.086652,15.127358,10,10,0.992188,1270,1270,162560,0,0.0
greedy_prefix_cache,10,156.262984,175.225788,4.80987,130643.226,1.147654,1.136811,12.86576,12.034601,10.507955,14.46471,1.149289,12.945512,12.295158,14.718537,10,10,0.992188,1270,1270,162560,0,0.0
strict_reactive_prefix_cache,10,155.609456,174.874429,4.849783,130712.949,1.152474,1.139095,13.230176,12.210988,11.424975,14.419061,1.157257,13.500974,12.61727,14.736628,10,10,0.992188,1270,1270,162560,0,0.0
frequency_speculative,10,180.589088,200.316075,4.328098,153896.976,0.993061,0.994421,-0.698786,-0.561017,-0.56087,-0.760084,0.99474,-0.563984,-0.414649,-0.672802,4,4,0.0,0,0,0,0,0.0
shadow_kv,10,181.33022,201.574338,4.378158,154366.929,0.989002,0.988214,-1.112051,-1.192679,0.589274,-1.067774,0.990343,-1.015205,-1.130294,-1.009109,1,4,0.0,0,0,0,0,0.0
shadow_kv_plus,10,123.084897,125.487962,5.799419,102009.131,1.45701,1.587392,31.366286,37.003573,33.243105,33.212147,1.533986,28.356989,33.995563,30.300611,10,10,0.992188,1270,1270,162560,0,0.0
shadow_kv_plus_lite,10,123.262524,125.032162,5.822592,101875.46,1.45491,1.593178,31.267239,37.23239,33.775502,33.299664,1.536582,28.18743,34.170956,30.35134,10,10,0.992188,1270,1270,162560,0,0.0
shadow_kv_plus_best_latency,10,123.97647,125.948808,5.789936,102114.776,1.446532,1.581583,30.869134,36.772223,33.025223,33.142978,1.529248,27.738882,33.606669,30.174422,10,10,0.992188,1270,1270,162560,0,0.0
shadow_kv_plus_raw_observer,10,123.30152,125.983973,5.799854,101788.581,1.45445,1.581142,31.245495,36.75457,33.253098,33.356546,1.53654,28.153344,33.605033,30.406263,10,10,0.992188,1270,1270,162560,0,0.0
