"model_instance","backend","backend_reuse_latency_total_ms","bypassed_matches","dataset","device","dtype","early_layer_attempts","early_layer_hits","energy_source","engine","fast_exact_path_hits","gpu_energy_j","gpu_joules_per_request","gpu_joules_per_total_token","hit_rate","idle_adjusted_gpu_energy_j","idle_adjusted_joules_per_request","logit_guard_attempts","logit_guard_hits","mean_latency_ms","model","n_requests","p50_latency_ms","p95_latency_ms","p99_latency_ms","policy_bypass_total","policy_exact_total","policy_plans_total","policy_semantic_partial_total","prompt_mode","recompute_tokens_total","reuse_attempts","reuse_successes","reused_prefix_tokens_total","scaffold_bypass_store_successes","scaffold_only_attempts","scaffold_only_hits","seed","semantic_blocked_by_backend_total","semantic_matches_total","semantic_opportunity_estimated_savings_ms","semantic_opportunity_plans_total","semantic_opportunity_reused_tokens_total","semantic_partial_hits","semantic_partial_reused_tokens_total","semantic_quality_divergence_events","semantic_quality_divergence_sum","semantic_queries_total","semantic_scaffold_store_successes","service_throughput_rps","source_json","speedup_vs_no_cache_mean","speedup_vs_no_cache_p95","throughput_rps","wasted_compute_ratio"
"google_gemma-4-12B-it","hf","0.0","0","ag_news","cuda","float16","","","nvml","no_cache","","5892.889","46.0381953125","0.08131038717333113","0.0","5024.281842066441","39.25220189114407","","","68.00702984310192","google/gemma-4-12B-it","128","67.99447999947006","68.82822774714441","69.2558837607794","","","","","semantic","72474","0","0","0","","","","42","","","","","","","","","","","","14.704362215304597","raw_results\google_gemma-4-12B-it\semantic\seed_42\ag_news\no_cache\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1","1","8.256835864853326","0.0"
"google_gemma-4-12B-it","hf","0.0","0","ag_news","cuda","float16","","","nvml","shadow_kv","","5939.678","46.403734375","0.08195598421502884","0.0","5064.332904177707","39.565100813888336","","","68.03857232102928","google/gemma-4-12B-it","128","67.95676349429414","68.91118880594149","69.41288760732277","","","","","semantic","72474","0","0","0","","","","42","","","","","","","","","","","","14.697545317113029","raw_results\google_gemma-4-12B-it\semantic\seed_42\ag_news\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","0.999536403001249","0.998796116273212","8.531963307635976","0.0"
"google_gemma-4-12B-it","hf","8057.6435369148385","0","ag_news","cuda","float16","0","0","nvml","shadow_kv_plus","127","5136.293","40.1272890625","0.07087083643789496","0.9921875","4280.443136863542","33.440962006746425","","","63.38926061641814","google/gemma-4-12B-it","128","63.32778149226215","64.25101295099012","65.06579146152944","1","127","128","0","semantic","56218","127","127","16256","1","0","0","42","0","255","0.0","0","0","0","0","0","0.0","128","0","15.775542895999562","raw_results\google_gemma-4-12B-it\semantic\seed_42\ag_news\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1.07284781651938","1.07123957406937","8.82607435878669","0.0"
"google_gemma-4-12B-it","hf","0.0","0","ag_news","cuda","float16","","","nvml","no_cache","","6228.787628","46.183917","0.08185","0.0","5090.386423","40.352978","","","68.43629","google/gemma-4-12B-it","128","68.846319","66.410875","70.49849","","","","","semantic","72474","0","0","0","","","","123","","","","","","","","","","","","14.61213","raw_results\google_gemma-4-12B-it\semantic\seed_123\ag_news\no_cache\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1","1","8.205046","0.0"
"google_gemma-4-12B-it","hf","0.0","0","ag_news","cuda","float16","","","nvml","shadow_kv","","6061.232338","42.777076","0.084326","0.0","5077.896049","39.503223","","","66.999847","google/gemma-4-12B-it","128","68.971862","71.758932","71.882578","","","","","semantic","72474","0","0","0","","","","123","","","","","","","","","","","","14.925407","raw_results\google_gemma-4-12B-it\semantic\seed_123\ag_news\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1.02143949672004","0.925471898048873","8.664238","0.0"
"google_gemma-4-12B-it","hf","8054.006026","0","ag_news","cuda","float16","0","0","nvml","shadow_kv_plus","127","4988.019803","39.030779","0.076389","0.9921875","4194.77074","33.027256","","","61.719501","google/gemma-4-12B-it","128","64.247837","63.673804","66.111427","1","127","128","0","semantic","56218","127","127","16256","1","0","0","123","0","255","0.0","0","0","0","0","0","0.0","128","0","16.202334","raw_results\google_gemma-4-12B-it\semantic\seed_123\ag_news\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1.1088276621031","1.04298582506552","9.064855","0.0"
"google_gemma-4-12B-it","hf","0.0","0","ag_news","cuda","float16","","","nvml","no_cache","","5874.850029","45.564407","0.079572","0.0","5049.601414","38.886012","","","70.574011","google/gemma-4-12B-it","128","67.354064","67.946878","68.970242","","","","","semantic","72474","0","0","0","","","","456","","","","","","","","","","","","14.169522","raw_results\google_gemma-4-12B-it\semantic\seed_456\ag_news\no_cache\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1","1","7.956511","0.0"
"google_gemma-4-12B-it","hf","0.0","0","ag_news","cuda","float16","","","nvml","shadow_kv","","5995.926917","47.815419","0.079643","0.0","4725.377661","37.29627","","","68.493388","google/gemma-4-12B-it","128","70.539711","68.724304","65.919126","","","","","semantic","72474","0","0","0","","","","456","","","","","","","","","","","","14.599949","raw_results\google_gemma-4-12B-it\semantic\seed_456\ag_news\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1.0303769905498","0.988687757390748","8.475309","0.0"
"google_gemma-4-12B-it","hf","8074.184881","0","ag_news","cuda","float16","0","0","nvml","shadow_kv_plus","127","5130.693497","36.294191","0.070962","0.9921875","4031.901344","33.741184","","","63.835426","google/gemma-4-12B-it","128","60.941319","64.164786","65.019531","1","127","128","0","semantic","56218","127","127","16256","1","0","0","456","0","255","0.0","0","0","0","0","0","0.0","128","0","15.665283","raw_results\google_gemma-4-12B-it\semantic\seed_456\ag_news\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1.10556183959672","1.05894342108458","8.764386","0.0"
"google_gemma-4-12B-it","hf","0.0","0","ag_news","cuda","float16","","","nvml","no_cache","","5494.682402","46.233811","0.080373","0.0","5169.623099","38.663282","","","64.071655","google/gemma-4-12B-it","128","66.814614","64.751084","70.572437","","","","","semantic","72474","0","0","0","","","","789","","","","","","","","","","","","15.607526","raw_results\google_gemma-4-12B-it\semantic\seed_789\ag_news\no_cache\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json","1","1","8.763983","0.0"
