"model_instance","model","dataset","prompt_mode","engine","seed","speedup_vs_no_cache_mean","speedup_vs_no_cache_p95","energy_reduction_vs_no_cache_pct","idle_adjusted_energy_reduction_vs_no_cache_pct","hit_rate","reuse_successes","reused_prefix_tokens_total","wasted_compute_ratio","source_json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv","42","0.999536403001249","0.998796116273212","-0.793990859152442","-0.797149988201967","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\ag_news\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv_plus","42","1.07284781651938","1.07123957406937","12.8391354393405","14.8048761710582","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_42\ag_news\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv","123","1.02143949672004","0.925471898048873","7.37668266639229","2.10580492968822","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\ag_news\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv_plus","123","1.1088276621031","1.04298582506552","15.4883744486203","18.1541050080616","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_123\ag_news\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv","456","1.0303769905498","0.988687757390748","-4.94028595609726","4.08821043412732","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\ag_news\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv_plus","456","1.10556183959672","1.05894342108458","20.3453015420567","13.2305364715724","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_456\ag_news\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv","789","0.962008637164009","0.932252025472586","-3.87307894648787","-1.99942415649037","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\ag_news\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv_plus","789","0.953007913212152","0.985553293902932","9.49333811136617","15.3407100825015","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_789\ag_news\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv","999","0.998881075606","0.991490920223793","4.33119909546182","2.86798133046766","0.0","0","0","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\ag_news\shadow_kv\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
"google_gemma-4-12B-it","google/gemma-4-12B-it","ag_news","semantic","shadow_kv_plus","999","1.04409624137913","1.03616304520835","13.1486325754128","20.1491323114718","0.9921875","127","16256","0.0","raw_results\google_gemma-4-12B-it\semantic\seed_999\ag_news\shadow_kv_plus\benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json"
