platform,baseline,speedup,waste,waste_definition
T4_HF,no_cache,1.000,0.000,speculative_precompute
T4_HF,gate_k_ge_16,1.275,0.240,speculative_precompute
T4_HF,gate_k_ge_32,1.260,0.210,speculative_precompute
T4_HF,gate_k_ge_48,1.040,0.020,speculative_precompute
T4_HF,greedy,1.221,0.310,speculative_precompute
T4_HF,frequency_ge_3,1.208,0.284,speculative_precompute
T4_HF,cost_only,1.310,0.230,speculative_precompute
T4_HF,meritkv_predecessor,1.287,0.264,speculative_precompute
T4_HF,meritkv,1.365,0.156,speculative_precompute
T4_HF,offline_oracle,1.407,0.000,speculative_precompute
Blackwell_vLLM_APC,no_cache,1.000,,stored_but_unreused_kv
Blackwell_vLLM_APC,native_cache_only,1.227,0.120,stored_but_unreused_kv
Blackwell_vLLM_APC,gate_k_ge_16,1.195,0.190,stored_but_unreused_kv
Blackwell_vLLM_APC,gate_k_ge_32,1.180,0.160,stored_but_unreused_kv
Blackwell_vLLM_APC,greedy,1.210,0.230,stored_but_unreused_kv
Blackwell_vLLM_APC,frequency_ge_3,1.200,0.200,stored_but_unreused_kv
Blackwell_vLLM_APC,meritkv,1.222,0.068,stored_but_unreused_kv

