platform,workload,arm,speedup,waste,speedup_delta_pct,waste_delta_pct
T4_HF,clean_reusable,meritkv,1.42,0.11,,
T4_HF,clean_reusable,greedy,1.34,0.28,,
T4_HF,clean_reusable,meritkv_predecessor,1.28,0.24,,
T4_HF,clean_reusable,cost_only,1.35,0.20,,
T4_HF,clean_reusable,k_ge_16,1.22,0.21,,
T4_HF,clean_reusable,k_ge_32,1.21,0.18,,
T4_HF,raw_dominated,meritkv,1.05,0.01,,
T4_HF,raw_dominated,greedy,1.32,0.32,,
T4_HF,raw_dominated,meritkv_predecessor,1.35,0.28,,
T4_HF,raw_dominated,cost_only,1.30,0.25,,
T4_HF,raw_dominated,k_ge_16,1.03,0.10,,
T4_HF,raw_dominated,k_ge_32,1.02,0.08,,
T4_HF,chat_rag_mix,meritkv,1.34,0.14,,
T4_HF,chat_rag_mix,greedy,1.40,0.30,,
T4_HF,chat_rag_mix,meritkv_predecessor,1.30,0.26,,
T4_HF,chat_rag_mix,cost_only,1.33,0.22,,
T4_HF,chat_rag_mix,k_ge_16,1.24,0.24,,
T4_HF,chat_rag_mix,k_ge_32,1.20,0.20,,
T4_HF,bursty_reuse,meritkv,1.38,0.12,,
T4_HF,bursty_reuse,greedy,1.36,0.28,,
T4_HF,bursty_reuse,meritkv_predecessor,1.28,0.24,,
T4_HF,bursty_reuse,cost_only,1.32,0.21,,
T4_HF,bursty_reuse,k_ge_16,1.22,0.21,,
T4_HF,bursty_reuse,k_ge_32,1.20,0.18,,
T4_HF,adversarial_short,meritkv,1.24,0.16,,
T4_HF,adversarial_short,greedy,1.20,0.32,,
T4_HF,adversarial_short,meritkv_predecessor,1.18,0.28,,
T4_HF,adversarial_short,cost_only,1.20,0.25,,
T4_HF,adversarial_short,k_ge_16,1.06,0.26,,
T4_HF,adversarial_short,k_ge_32,1.04,0.22,,
T4_HF,speculation_trap,meritkv,1.12,0.08,,
T4_HF,speculation_trap,greedy,1.30,0.38,,
T4_HF,speculation_trap,meritkv_predecessor,1.22,0.30,,
T4_HF,speculation_trap,cost_only,1.25,0.26,,
T4_HF,speculation_trap,k_ge_16,1.10,0.24,,
T4_HF,speculation_trap,k_ge_32,1.06,0.20,,
Blackwell_vLLM_APC,clean_reusable,native,1.22,0.09,,
Blackwell_vLLM_APC,clean_reusable,meritkv_overlay,1.22,0.06,0.0,-33
Blackwell_vLLM_APC,raw_dominated,native,1.01,0.02,,
Blackwell_vLLM_APC,raw_dominated,meritkv_overlay,1.01,0.01,0.0,-50
Blackwell_vLLM_APC,chat_rag_mix,native,1.12,0.08,,
Blackwell_vLLM_APC,chat_rag_mix,meritkv_overlay,1.12,0.05,0.0,-38
Blackwell_vLLM_APC,bursty_reuse,native,1.18,0.10,,
Blackwell_vLLM_APC,bursty_reuse,meritkv_overlay,1.18,0.06,0.0,-40
Blackwell_vLLM_APC,adversarial_short,native,1.06,0.14,,
Blackwell_vLLM_APC,adversarial_short,meritkv_overlay,1.07,0.08,0.9,-43
Blackwell_vLLM_APC,speculation_trap,native,1.10,0.16,,
Blackwell_vLLM_APC,speculation_trap,meritkv_overlay,1.11,0.07,0.9,-56

