model_slug,model_params_B,dataset,mode,engine,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_lmcache_pct
google_gemma-4-E2B-it,2.3,ag_news,rag,lmcache_no_native_radix,41.8962,40.6485,43.144,23.9718,0,12.55,0.0
google_gemma-4-E2B-it,2.3,ag_news,templated,lmcache_no_native_radix,41.8962,40.6908,43.1017,24.7064,0,12.49,0.0
google_gemma-4-E2B-it,2.3,banking77,rag,lmcache_no_native_radix,36.5306,36.083,36.9782,26.4504,0,10.87,0.0
google_gemma-4-E2B-it,2.3,banking77,templated,lmcache_no_native_radix,36.5306,35.9773,37.0839,26.5153,0,11.48,0.0
google_gemma-4-E2B-it,2.3,dolly,rag,lmcache_no_native_radix,47.4364,46.4234,48.4494,21.6232,0,13.31,0.0
google_gemma-4-E2B-it,2.3,dolly,templated,lmcache_no_native_radix,47.4364,46.1498,48.723,21.9179,0,15.16,0.0
google_gemma-4-E2B-it,2.3,daily_dialog,rag,lmcache_no_native_radix,47.7705,47.2099,48.3311,21.2877,0,13.43,0.0
google_gemma-4-E2B-it,2.3,daily_dialog,templated,lmcache_no_native_radix,47.7705,47.1584,48.3825,20.5642,0,13.61,0.0
google_gemma-4-E2B-it,2.3,samsum,rag,lmcache_no_native_radix,56.9427,56.1051,57.7804,18.0071,0,18.63,0.0
google_gemma-4-E2B-it,2.3,samsum,templated,lmcache_no_native_radix,56.9427,56.0294,57.856,17.9529,0,15.41,0.0
google_gemma-4-E2B-it,2.3,xsum,rag,lmcache_no_native_radix,81.28,79.341,83.2189,11.7644,0,22.52,0.0
google_gemma-4-E2B-it,2.3,xsum,templated,lmcache_no_native_radix,81.28,79.9684,82.5915,12.1868,0,24.4,0.0
google_gemma-4-E2B-it,2.3,alpaca_eval,rag,lmcache_no_native_radix,56.0184,54.6699,57.3668,17.5139,0,15.52,0.0
google_gemma-4-E2B-it,2.3,alpaca_eval,templated,lmcache_no_native_radix,56.0184,54.4318,57.605,17.4854,0,17.19,0.0
google_gemma-4-E2B-it,2.3,oasst1,rag,lmcache_no_native_radix,59.5052,58.7512,60.2593,16.2224,0,18.74,0.0
google_gemma-4-E2B-it,2.3,oasst1,templated,lmcache_no_native_radix,59.5052,58.1893,60.8212,16.6638,0,18.03,0.0
google_gemma-4-E2B-it,2.3,ultrachat,rag,lmcache_no_native_radix,68.002,66.591,69.4131,14.9468,0,19.25,0.0
google_gemma-4-E2B-it,2.3,ultrachat,templated,lmcache_no_native_radix,68.002,66.9854,69.0186,15.08,0,21.92,0.0
google_gemma-4-E2B-it,2.3,cnn_dailymail,rag,lmcache_no_native_radix,71.7522,70.3936,73.1108,14.2208,0,19.71,0.0
google_gemma-4-E2B-it,2.3,cnn_dailymail,templated,lmcache_no_native_radix,71.7522,70.2251,73.2793,13.3261,0,21.73,0.0
google_gemma-4-12B-it,12.0,ag_news,rag,lmcache_no_native_radix,66.9244,65.4886,68.3602,14.419,0,85.75,0.0
google_gemma-4-12B-it,12.0,ag_news,templated,lmcache_no_native_radix,66.9244,65.5587,68.2901,14.3688,0,83.57,0.0
google_gemma-4-12B-it,12.0,banking77,rag,lmcache_no_native_radix,59.3629,58.6613,60.0645,16.863,0,83.63,0.0
google_gemma-4-12B-it,12.0,banking77,templated,lmcache_no_native_radix,59.3629,58.231,60.4949,16.8678,0,78.09,0.0
google_gemma-4-12B-it,12.0,dolly,rag,lmcache_no_native_radix,68.8227,67.498,70.1473,14.976,0,95.4,0.0
google_gemma-4-12B-it,12.0,dolly,templated,lmcache_no_native_radix,68.8227,67.5894,70.0559,14.9899,0,95.81,0.0
