model_slug,model_params_B,dataset,mode,engine,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_lmcache_pct
google_gemma-4-E2B-it,2.3,ag_news,rag,lmcache_no_native_radix,43.4157,42.9599,43.8716,22.5149,90,12.3,0.0
google_gemma-4-E2B-it,2.3,ag_news,rag,sglang_radix_attention,42.1388,41.0967,43.1809,24.1504,90,13.63,2.9412
google_gemma-4-E2B-it,2.3,ag_news,rag,sglang_radix_attention_shadowkv_plus,32.349,31.9692,32.7287,30.6715,90,8.09,25.4902
google_gemma-4-E2B-it,2.3,ag_news,templated,lmcache_no_native_radix,41.614,40.7772,42.4507,22.8926,90,11.73,0.0
google_gemma-4-E2B-it,2.3,ag_news,templated,sglang_radix_attention,40.39,39.4612,41.3189,24.8699,90,11.44,2.9412
google_gemma-4-E2B-it,2.3,ag_news,templated,sglang_radix_attention_shadowkv_plus,31.0065,30.331,31.682,33.2493,90,7.71,25.4902
google_gemma-4-E2B-it,2.3,banking77,rag,lmcache_no_native_radix,38.8409,37.9102,39.7716,25.3348,75,10.85,0.0
google_gemma-4-E2B-it,2.3,banking77,rag,sglang_radix_attention,37.6985,36.5998,38.7972,26.0928,75,10.39,2.9412
google_gemma-4-E2B-it,2.3,banking77,rag,sglang_radix_attention_shadowkv_plus,28.9403,28.5949,29.2857,35.7546,75,8.15,25.4902
google_gemma-4-E2B-it,2.3,banking77,templated,lmcache_no_native_radix,38.8458,37.8904,39.8012,25.836,75,12.76,0.0
google_gemma-4-E2B-it,2.3,banking77,templated,sglang_radix_attention,37.7033,37.0408,38.3658,26.6609,75,12.06,2.9412
google_gemma-4-E2B-it,2.3,banking77,templated,sglang_radix_attention_shadowkv_plus,28.944,28.2965,29.5915,35.7992,75,8.11,25.4902
google_gemma-4-E2B-it,2.3,dolly,rag,lmcache_no_native_radix,47.0391,46.5256,47.5526,20.6805,100,13.52,0.0
google_gemma-4-E2B-it,2.3,dolly,rag,sglang_radix_attention,45.6556,45.1262,46.185,21.3179,100,12.6,2.9412
