model_slug,model_params_B,dataset,mode,engine,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,speedup_vs_no_cache_pct
google_gemma-4-E2B-it,2.3,ag_news,rag,vllm_no_cache,27.2296,26.7947,27.6644,37.0441,0,8.98,0.0
google_gemma-4-E2B-it,2.3,ag_news,rag,vllm_apc,20.4222,20.1573,20.6871,49.1553,90,5.94,27.0077
google_gemma-4-E2B-it,2.3,ag_news,rag,vllm_apc_shadowkv_plus,17.4269,17.0632,17.7906,57.1263,90,4.64,35.3778
google_gemma-4-E2B-it,2.3,ag_news,templated,vllm_no_cache,28.3837,27.7753,28.9921,34.2928,0,8.98,0.0
google_gemma-4-E2B-it,2.3,ag_news,templated,vllm_apc,21.2878,20.7578,21.8177,47.9394,90,6.78,22.6374
google_gemma-4-E2B-it,2.3,ag_news,templated,vllm_apc_shadowkv_plus,18.1656,17.7428,18.5884,56.8149,90,5.5,34.7055
google_gemma-4-E2B-it,2.3,banking77,rag,vllm_no_cache,23.3648,22.8964,23.8331,43.1855,0,7.53,0.0
google_gemma-4-E2B-it,2.3,banking77,rag,vllm_apc,17.5236,17.194,17.8531,57.2141,75,5.21,30.0288
google_gemma-4-E2B-it,2.3,banking77,rag,vllm_apc_shadowkv_plus,14.9534,14.6813,15.2256,67.9093,75,3.84,38.7763
google_gemma-4-E2B-it,2.3,banking77,templated,vllm_no_cache,25.6485,25.2184,26.0787,39.7399,0,7.93,0.0
google_gemma-4-E2B-it,2.3,banking77,templated,vllm_apc,19.2364,18.7161,19.7567,53.8528,75,5.63,20.0145
google_gemma-4-E2B-it,2.3,banking77,templated,vllm_apc_shadowkv_plus,16.4151,16.0149,16.8152,62.5,75,4.87,29.7361
google_gemma-4-E2B-it,2.3,dolly,rag,vllm_no_cache,28.6712,28.0226,29.3199,36.3463,0,9.46,0.0
google_gemma-4-E2B-it,2.3,dolly,rag,vllm_apc,21.5034,21.1017,21.9051,44.6368,100,6.62,30.8146
google_gemma-4-E2B-it,2.3,dolly,rag,vllm_apc_shadowkv_plus,18.3496,18.0033,18.6959,55.5544,100,5.47,35.8496
google_gemma-4-E2B-it,2.3,dolly,templated,vllm_no_cache,30.8518,30.3623,31.3413,32.0073,0,8.6,0.0
google_gemma-4-E2B-it,2.3,dolly,templated,vllm_apc,23.1388,22.6456,23.6321,44.4816,100,6.48,19.3848
google_gemma-4-E2B-it,2.3,dolly,templated,vllm_apc_shadowkv_plus,19.7451,19.2038,20.2865,51.2516,100,5.17,36.7172
google_gemma-4-E2B-it,2.3,daily_dialog,rag,vllm_no_cache,29.8989,29.3242,30.4737,32.6232,0,8.53,0.0
google_gemma-4-E2B-it,2.3,daily_dialog,rag,vllm_apc,22.4242,21.8391,23.0093,46.3838,105,6.97,25.1154
google_gemma-4-E2B-it,2.3,daily_dialog,rag,vllm_apc_shadowkv_plus,19.1353,18.7749,19.4957,51.4523,105,5.37,39.1298
google_gemma-4-E2B-it,2.3,daily_dialog,templated,vllm_no_cache,30.7708,30.3092,31.2324,33.6205,0,8.68,0.0
google_gemma-4-E2B-it,2.3,daily_dialog,templated,vllm_apc,23.0781,22.6243,23.5319,42.1924,105,7.02,26.1204
google_gemma-4-E2B-it,2.3,daily_dialog,templated,vllm_apc_shadowkv_plus,19.6933,19.1054,20.2812,49.7389,105,5.95,37.4738
google_gemma-4-E2B-it,2.3,samsum,rag,vllm_no_cache,37.0671,36.2769,37.8574,27.4793,0,11.66,0.0
