rep,source_root,phase,dataset,mode,baseline,seed,path,n_requests,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,prompt_tokens_total,total_tokens_total,cached_tokens_total_response_usage,vllm_prefix_cache_queries_delta,vllm_prefix_cache_hits_delta,vllm_prompt_tokens_cached_delta,vllm_local_cache_hit_tokens_delta,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,idle_adjusted_joules_per_request,gpu_joules_per_prompt_token,energy_source,energy_error,admission_controller_enabled,admission_selected_preset,admission_allow_total,admission_bypass_total,admission_write_through_bypass_total,admission_bypass_store_successes
1,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,vllm_no_cache,42,/home/benchmark/gemma4_lmcache_5rep/full/rep_42/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.313358,10.408289,12.429835,14.29431,88.38532,43476,43732,0,0.0,0.0,0.0,0.0,1169.784,1006.014,4.569469,3.929743,0.026906,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,vllm_no_cache,123,/home/benchmark/gemma4_lmcache_5rep/full/rep_123/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.185017,10.290216,12.259039,14.097895,89.399479,43476,43732,0,0.0,0.0,0.0,0.0,1160.019,997.616,4.531324,3.896939,0.026682,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,vllm_no_cache,456,/home/benchmark/gemma4_lmcache_5rep/full/rep_456/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.1841,10.289372,12.258191,14.09692,89.406815,43476,43732,0,0.0,0.0,0.0,0.0,1159.905,997.518,4.530879,3.896556,0.026679,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,vllm_no_cache,789,/home/benchmark/gemma4_lmcache_5rep/full/rep_789/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.111367,10.222458,12.178629,14.005423,89.992054,43476,43732,0,0.0,0.0,0.0,0.0,1152.344,991.016,4.501344,3.871156,0.026505,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,vllm_no_cache,999,/home/benchmark/gemma4_lmcache_5rep/full/rep_999/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,11.181648,10.287116,12.255761,14.094125,89.426415,43476,43732,0,0.0,0.0,0.0,0.0,1159.621,997.274,4.52977,3.895602,0.026673,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_vllm,42,/home/benchmark/gemma4_lmcache_5rep/full/rep_42/ag_news/rag/lmcache_vllm/benchmark_lmcache_vllm_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.337597,8.590589,10.259094,11.797958,107.086941,43476,43732,0,43476.0,26520.36,0.0,0.0,928.359,798.389,3.626402,3.118706,0.021353,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_vllm,123,/home/benchmark/gemma4_lmcache_5rep/full/rep_123/ag_news/rag/lmcache_vllm/benchmark_lmcache_vllm_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.225762,8.487701,10.11165,11.628397,106.060886,43476,43732,0,43476.0,26520.36,0.0,0.0,920.02,791.217,3.593828,3.090692,0.021162,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_vllm,456,/home/benchmark/gemma4_lmcache_5rep/full/rep_456/ag_news/rag/lmcache_vllm/benchmark_lmcache_vllm_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.226346,8.488238,10.11242,11.629283,106.066244,43476,43732,0,43476.0,26520.36,0.0,0.0,920.064,791.255,3.594,3.09084,0.021163,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_vllm,789,/home/benchmark/gemma4_lmcache_5rep/full/rep_789/ag_news/rag/lmcache_vllm/benchmark_lmcache_vllm_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.22693,8.488776,10.11319,11.630168,106.071603,43476,43732,0,43476.0,26520.36,0.0,0.0,920.107,791.292,3.594168,3.090984,0.021164,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_lmcache_5rep,full,ag_news,rag,lmcache_vllm,999,/home/benchmark/gemma4_lmcache_5rep/full/rep_999/ag_news/rag/lmcache_vllm/benchmark_lmcache_vllm_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.227298,8.489114,10.113675,11.630726,106.074982,43476,43732,0,43476.0,26520.36,0.0,0.0,920.135,791.316,3.594277,3.091079,0.021164,nvml,,False,,0,0,0,0
