rep,source_root,phase,dataset,mode,baseline,seed,path,n_requests,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,prompt_tokens_total,total_tokens_total,cached_tokens_total_response_usage,vllm_prefix_cache_queries_delta,vllm_prefix_cache_hits_delta,vllm_prompt_tokens_cached_delta,vllm_local_cache_hit_tokens_delta,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,idle_adjusted_joules_per_request,gpu_joules_per_prompt_token,energy_source,energy_error,admission_controller_enabled,admission_selected_preset,admission_allow_total,admission_bypass_total,admission_write_through_bypass_total,admission_bypass_store_successes
1,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,24.150389,22.218358,26.134404,30.054565,41.405084,45780,46036,0,0.0,0.0,0.0,0.0,1594.692,1371.435,6.229266,5.357168,0.034834,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,23.731839,21.833292,25.587514,29.425641,42.135331,45780,46036,0,0.0,0.0,0.0,0.0,1576.611,1355.885,6.158637,5.296428,0.034439,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,23.730629,21.832179,25.58671,29.424716,42.137479,45780,46036,0,0.0,0.0,0.0,0.0,1576.479,1355.772,6.158121,5.295984,0.034436,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,23.861831,21.952885,25.728676,29.587977,41.90579,45780,46036,0,0.0,0.0,0.0,0.0,1585.144,1363.224,6.191969,5.325093,0.034625,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_no_cache,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/ag_news/rag/sglang_no_cache/benchmark_sglang_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,23.726609,21.82848,25.583189,29.420667,42.144619,45780,46036,0,0.0,0.0,0.0,0.0,1576.13,1355.472,6.156758,5.294812,0.034428,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,42,/home/benchmark/gemma4_sglang_5rep/full/rep_42/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.972614,18.374805,21.613415,24.855427,50.066,45780,46036,30393,45780.0,27925.8,30393.0,30393.0,1268.102,1090.568,4.953523,4.26003,0.0277,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,123,/home/benchmark/gemma4_sglang_5rep/full/rep_123/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.613799,18.044695,21.147471,24.319592,49.346437,45780,46036,30393,45780.0,27925.8,30393.0,30393.0,1252.915,1077.507,4.894199,4.209011,0.027368,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,456,/home/benchmark/gemma4_sglang_5rep/full/rep_456/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.615673,18.046419,21.149904,24.32239,49.350195,45780,46036,30393,45780.0,27925.8,30393.0,30393.0,1252.994,1077.575,4.894508,4.209277,0.02737,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,789,/home/benchmark/gemma4_sglang_5rep/full/rep_789/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.617547,18.048143,21.152338,24.325189,49.353953,45780,46036,30393,45780.0,27925.8,30393.0,30393.0,1253.073,1077.643,4.894816,4.209542,0.027372,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_sglang_5rep,full,ag_news,rag,sglang_radix_attention,999,/home/benchmark/gemma4_sglang_5rep/full/rep_999/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,19.618729,18.049231,21.153872,24.326953,49.356323,45780,46036,30393,45780.0,27925.8,30393.0,30393.0,1253.123,1077.686,4.895012,4.20971,0.027373,nvml,,False,,0,0,0,0
