rep,source_root,phase,dataset,mode,baseline,seed,path,n_requests,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,prompt_tokens_total,total_tokens_total,cached_tokens_total_response_usage,vllm_prefix_cache_queries_delta,vllm_prefix_cache_hits_delta,vllm_prompt_tokens_cached_delta,vllm_local_cache_hit_tokens_delta,gpu_energy_j,idle_adjusted_gpu_energy_j,gpu_joules_per_request,idle_adjusted_joules_per_request,gpu_joules_per_prompt_token,energy_source,energy_error,admission_controller_enabled,admission_selected_preset,admission_allow_total,admission_bypass_total,admission_write_through_bypass_total,admission_bypass_store_successes
1,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_no_cache,42,/home/benchmark/gemma4_vllm_5rep/full/rep_42/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.163425,8.430351,10.080417,11.59248,109.120123,43476,43732,0,0.0,0.0,0.0,0.0,774.686,666.23,3.026117,2.602461,0.017819,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_no_cache,123,/home/benchmark/gemma4_vllm_5rep/full/rep_123/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.032019,8.309457,9.905662,11.391511,110.707702,43476,43732,0,0.0,0.0,0.0,0.0,767.446,660.004,2.997836,2.578139,0.017652,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_no_cache,456,/home/benchmark/gemma4_vllm_5rep/full/rep_456/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,8.973435,8.25556,9.84157,11.317806,111.43047,43476,43732,0,0.0,0.0,0.0,0.0,762.447,655.704,2.978309,2.561345,0.017537,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_no_cache,789,/home/benchmark/gemma4_vllm_5rep/full/rep_789/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,8.972834,8.255007,9.84107,11.31723,111.437931,43476,43732,0,0.0,0.0,0.0,0.0,762.376,655.643,2.978031,2.561107,0.017536,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_no_cache,999,/home/benchmark/gemma4_vllm_5rep/full/rep_999/ag_news/rag/vllm_no_cache/benchmark_vllm_no_cache_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,9.029681,8.307307,9.903518,11.389046,110.736368,43476,43732,0,0.0,0.0,0.0,0.0,767.193,659.786,2.996848,2.577289,0.017646,nvml,,False,,0,0,0,0
1,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_apc,42,/home/benchmark/gemma4_vllm_5rep/full/rep_42/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,7.445571,6.849925,8.190655,9.419253,134.296501,43476,43732,25312,43476.0,26520.36,25312.0,25312.0,605.247,520.512,2.364246,2.033252,0.013921,nvml,,False,,0,0,0,0
2,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_apc,123,/home/benchmark/gemma4_vllm_5rep/full/rep_123/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,7.334102,6.747374,8.04351,9.250036,132.688046,43476,43732,25312,43476.0,26520.36,25312.0,25312.0,599.206,515.317,2.340648,2.012958,0.013782,nvml,,False,,0,0,0,0
3,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_apc,456,/home/benchmark/gemma4_vllm_5rep/full/rep_456/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,7.334684,6.747909,8.044278,9.25092,132.696446,43476,43732,25312,43476.0,26520.36,25312.0,25312.0,599.238,515.345,2.340773,2.013065,0.013783,nvml,,False,,0,0,0,0
4,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_apc,789,/home/benchmark/gemma4_vllm_5rep/full/rep_789/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,7.335266,6.748445,8.045047,9.251804,132.704846,43476,43732,25312,43476.0,26520.36,25312.0,25312.0,599.269,515.371,2.340895,2.013169,0.013784,nvml,,False,,0,0,0,0
5,/home/benchmark/gemma4_vllm_5rep,full,ag_news,rag,vllm_apc,999,/home/benchmark/gemma4_vllm_5rep/full/rep_999/ag_news/rag/vllm_apc/benchmark_vllm_apc_google_gemma-4-E2B-it_public_dataset_ag_news_rag.json,256,7.335633,6.748782,8.045531,9.252361,132.710143,43476,43732,25312,43476.0,26520.36,25312.0,25312.0,599.289,515.389,2.340973,2.013236,0.013784,nvml,,False,,0,0,0,0
