block_id	model_slug	model_id	arm	seed	cells
1	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	10
2	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	10
3	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	10
4	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	10
5	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	10
6	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	10
7	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	10
8	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	10
9	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	10
10	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	10
11	gemma4_31b	google/gemma-4-31B-it	native_baseline	2	10
12	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	2	10
13	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	2	10
14	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	2	10
15	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	2	10
16	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	2	10
17	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	3	10
18	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	3	10
19	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	3	10
20	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	3	10
21	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	3	10
22	gemma4_31b	google/gemma-4-31B-it	native_baseline	3	10
23	gemma4_31b	google/gemma-4-31B-it	forced_recompute	3	10
24	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	3	10
25	gemma4_31b	google/gemma-4-31B-it	forced_recompute	4	10
26	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	4	10
27	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	4	10
28	gemma4_31b	google/gemma-4-31B-it	native_baseline	4	10
29	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	4	10
30	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	4	10
31	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	4	10
32	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	4	10
33	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	5	10
34	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	5	10
35	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	5	10
36	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	5	10
37	gemma4_31b	google/gemma-4-31B-it	native_baseline	5	10
38	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	5	10
39	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	5	10
40	gemma4_31b	google/gemma-4-31B-it	forced_recompute	5	10
