block_id	cell_id	model_slug	model_id	arm	seed	dataset	prompt_mode	requests	reset_before
1	1	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	daily_dialog	templated	256	flush_cache+action_counters
1	2	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	daily_dialog	rag	256	flush_cache+action_counters
1	3	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	samsum	templated	256	flush_cache+action_counters
1	4	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	samsum	rag	256	flush_cache+action_counters
1	5	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	ag_news	templated	256	flush_cache+action_counters
1	6	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	ag_news	rag	256	flush_cache+action_counters
1	7	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	dolly	templated	256	flush_cache+action_counters
1	8	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	dolly	rag	256	flush_cache+action_counters
1	9	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	xsum	templated	256	flush_cache+action_counters
1	10	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	native_baseline	1	xsum	rag	256	flush_cache+action_counters
2	1	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	daily_dialog	templated	256	flush_cache+action_counters
2	2	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	daily_dialog	rag	256	flush_cache+action_counters
2	3	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	templated	256	flush_cache+action_counters
2	4	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	samsum	rag	256	flush_cache+action_counters
2	5	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	ag_news	templated	256	flush_cache+action_counters
2	6	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	ag_news	rag	256	flush_cache+action_counters
2	7	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	dolly	templated	256	flush_cache+action_counters
2	8	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	dolly	rag	256	flush_cache+action_counters
2	9	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	xsum	templated	256	flush_cache+action_counters
2	10	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_write_through	1	xsum	rag	256	flush_cache+action_counters
3	1	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	daily_dialog	templated	256	flush_cache+action_counters
3	2	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	daily_dialog	rag	256	flush_cache+action_counters
3	3	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	templated	256	flush_cache+action_counters
3	4	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	samsum	rag	256	flush_cache+action_counters
3	5	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	ag_news	templated	256	flush_cache+action_counters
3	6	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	ag_news	rag	256	flush_cache+action_counters
3	7	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	dolly	templated	256	flush_cache+action_counters
3	8	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	dolly	rag	256	flush_cache+action_counters
3	9	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	xsum	templated	256	flush_cache+action_counters
3	10	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	meritkv_enforced	1	xsum	rag	256	flush_cache+action_counters
4	1	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	daily_dialog	templated	256	flush_cache+action_counters
4	2	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	daily_dialog	rag	256	flush_cache+action_counters
4	3	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	samsum	templated	256	flush_cache+action_counters
4	4	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	samsum	rag	256	flush_cache+action_counters
4	5	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	ag_news	templated	256	flush_cache+action_counters
4	6	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	ag_news	rag	256	flush_cache+action_counters
4	7	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	dolly	templated	256	flush_cache+action_counters
4	8	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	dolly	rag	256	flush_cache+action_counters
4	9	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	xsum	templated	256	flush_cache+action_counters
4	10	qwen25_32b	Qwen/Qwen2.5-32B-Instruct	forced_recompute	1	xsum	rag	256	flush_cache+action_counters
5	1	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	daily_dialog	templated	256	flush_cache+action_counters
5	2	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	daily_dialog	rag	256	flush_cache+action_counters
5	3	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	samsum	templated	256	flush_cache+action_counters
5	4	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	samsum	rag	256	flush_cache+action_counters
5	5	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	ag_news	templated	256	flush_cache+action_counters
5	6	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	ag_news	rag	256	flush_cache+action_counters
5	7	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	dolly	templated	256	flush_cache+action_counters
5	8	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	dolly	rag	256	flush_cache+action_counters
5	9	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	xsum	templated	256	flush_cache+action_counters
5	10	gemma4_31b	google/gemma-4-31B-it	native_baseline	1	xsum	rag	256	flush_cache+action_counters
6	1	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	daily_dialog	templated	256	flush_cache+action_counters
6	2	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	daily_dialog	rag	256	flush_cache+action_counters
6	3	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	samsum	templated	256	flush_cache+action_counters
6	4	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	samsum	rag	256	flush_cache+action_counters
6	5	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	ag_news	templated	256	flush_cache+action_counters
6	6	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	ag_news	rag	256	flush_cache+action_counters
6	7	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	dolly	templated	256	flush_cache+action_counters
6	8	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	dolly	rag	256	flush_cache+action_counters
6	9	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	xsum	templated	256	flush_cache+action_counters
6	10	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	1	xsum	rag	256	flush_cache+action_counters
7	1	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	daily_dialog	templated	256	flush_cache+action_counters
7	2	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	daily_dialog	rag	256	flush_cache+action_counters
7	3	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	samsum	templated	256	flush_cache+action_counters
7	4	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	samsum	rag	256	flush_cache+action_counters
7	5	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	ag_news	templated	256	flush_cache+action_counters
7	6	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	ag_news	rag	256	flush_cache+action_counters
7	7	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	dolly	templated	256	flush_cache+action_counters
7	8	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	dolly	rag	256	flush_cache+action_counters
7	9	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	xsum	templated	256	flush_cache+action_counters
7	10	gemma4_31b	google/gemma-4-31B-it	meritkv_enforced	1	xsum	rag	256	flush_cache+action_counters
8	1	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	daily_dialog	templated	256	flush_cache+action_counters
8	2	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	daily_dialog	rag	256	flush_cache+action_counters
8	3	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	samsum	templated	256	flush_cache+action_counters
8	4	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	samsum	rag	256	flush_cache+action_counters
8	5	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	ag_news	templated	256	flush_cache+action_counters
8	6	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	ag_news	rag	256	flush_cache+action_counters
8	7	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	dolly	templated	256	flush_cache+action_counters
8	8	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	dolly	rag	256	flush_cache+action_counters
8	9	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	xsum	templated	256	flush_cache+action_counters
8	10	gemma4_31b	google/gemma-4-31B-it	forced_recompute	1	xsum	rag	256	flush_cache+action_counters
9	1	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	xsum	rag	256	flush_cache+action_counters
9	2	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	xsum	templated	256	flush_cache+action_counters
9	3	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	dolly	rag	256	flush_cache+action_counters
9	4	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	dolly	templated	256	flush_cache+action_counters
9	5	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	ag_news	rag	256	flush_cache+action_counters
9	6	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	ag_news	templated	256	flush_cache+action_counters
9	7	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	samsum	rag	256	flush_cache+action_counters
9	8	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	samsum	templated	256	flush_cache+action_counters
9	9	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	daily_dialog	rag	256	flush_cache+action_counters
9	10	gemma4_31b	google/gemma-4-31B-it	meritkv_write_through	2	daily_dialog	templated	256	flush_cache+action_counters
10	1	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	xsum	rag	256	flush_cache+action_counters
10	2	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	xsum	templated	256	flush_cache+action_counters
10	3	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	dolly	rag	256	flush_cache+action_counters
10	4	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	dolly	templated	256	flush_cache+action_counters
10	5	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	ag_news	rag	256	flush_cache+action_counters
10	6	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	ag_news	templated	256	flush_cache+action_counters
10	7	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	samsum	rag	256	flush_cache+action_counters
10	8	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	samsum	templated	256	flush_cache+action_counters
10	9	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	daily_dialog	rag	256	flush_cache+action_counters
10	10	gemma4_31b	google/gemma-4-31B-it	forced_recompute	2	daily_dialog	templated	256	flush_cache+action_counters
