seed,arm,requests,mean_end_to_end_ms,p95_end_to_end_ms,mean_ttft_ms,p95_ttft_ms,gpu_energy_j,idle_adjusted_gpu_energy_j,evicted_tokens,post_pressure_hot_survival,allow_decisions,bypass_decisions,requested_skip_write,radix_executed_skip_write,swa_executed_skip_write,requested_skip_lookup,radix_executed_skip_lookup,swa_executed_skip_lookup,output_mismatch_positions
32001,native_admit_all_lru,124,396.032950,619.003019,395.867734,618.820235,29108.963000,24319.898939,308237.000000,3,0,0,0,0,0,0,0,0,0
32001,meritkv_write_through_lru,124,399.121775,624.845341,397.383112,623.444977,29382.700000,24359.385069,308237.000000,3,56,68,0,0,0,0,0,0,0
32001,meritkv_skip_write_only_lru,124,369.178279,628.776245,367.458341,627.384436,26908.806000,22189.372882,0.000000,4,56,68,68,68,68,0,0,0,0
32001,meritkv_joint_skip_write_skip_lookup_lru,124,368.376886,627.173356,366.620084,625.792329,26844.314000,22124.384185,0.000000,4,56,68,68,68,68,68,68,68,0
32002,native_admit_all_lru,124,400.181985,615.506611,400.016808,615.347523,29464.636000,24276.819860,306893.000000,3,0,0,0,0,0,0,0,0,0
32002,meritkv_write_through_lru,124,398.823405,613.546991,397.063950,612.087433,29341.664000,24235.753582,306893.000000,3,56,68,0,0,0,0,0,0,0
32002,meritkv_skip_write_only_lru,124,367.168743,623.809671,365.373088,622.378675,26819.384000,22119.824091,0.000000,4,56,68,68,68,68,0,0,0,0
32002,meritkv_joint_skip_write_skip_lookup_lru,124,366.151135,624.034072,364.418164,622.677656,26687.483000,22013.536681,0.000000,4,56,68,68,68,68,68,68,68,0
32003,native_admit_all_lru,124,401.218040,636.532840,401.039794,636.346049,29555.653000,24261.410603,307085.000000,3,0,0,0,0,0,0,0,0,0
32003,meritkv_write_through_lru,124,400.819065,635.113323,399.055063,633.723788,29512.938000,24251.227454,307085.000000,3,56,68,0,0,0,0,0,0,0
32003,meritkv_skip_write_only_lru,124,368.952197,635.052340,367.243115,633.565041,26926.909000,22154.816515,0.000000,4,56,68,68,68,68,0,0,0,0
32003,meritkv_joint_skip_write_skip_lookup_lru,124,367.807773,634.890993,366.017613,633.430179,26760.268000,22036.070661,0.000000,4,56,68,68,68,68,68,68,68,0
32004,native_admit_all_lru,124,395.118243,610.673174,394.941435,610.534029,29090.553000,23851.179231,297297.000000,4,0,0,0,0,0,0,0,0,0
32004,meritkv_write_through_lru,124,394.781669,610.374282,392.969126,608.985579,29058.666000,23880.225618,297297.000000,4,56,68,0,0,0,0,0,0,0
32004,meritkv_skip_write_only_lru,124,364.321286,614.914561,362.599793,613.576927,26569.811000,21822.165033,0.000000,4,56,68,68,68,68,0,0,0,0
32004,meritkv_joint_skip_write_skip_lookup_lru,124,363.179243,612.971270,361.458207,611.632317,26440.851000,21719.536015,0.000000,4,56,68,68,68,68,68,68,68,0
32005,native_admit_all_lru,124,404.032558,634.866822,403.867650,634.698837,29760.121000,24404.315791,309101.000000,3,0,0,0,0,0,0,0,0,0
32005,meritkv_write_through_lru,124,403.588938,635.307484,401.844568,633.917414,29735.121000,24509.522057,309101.000000,3,56,68,0,0,0,0,0,0,0
32005,meritkv_skip_write_only_lru,124,372.609921,637.837436,370.884955,636.242129,27198.997000,22328.147725,0.000000,4,56,68,68,68,68,0,0,0,0
32005,meritkv_joint_skip_write_skip_lookup_lru,124,371.699869,633.896065,369.980488,632.001049,27094.810000,22220.200600,0.000000,4,56,68,68,68,68,68,68,68,0
