seed,arm,requests,mean_end_to_end_ms,p95_end_to_end_ms,mean_ttft_ms,p95_ttft_ms,gpu_energy_j,idle_adjusted_gpu_energy_j,evicted_tokens,post_pressure_hot_survival,allow_decisions,bypass_decisions,requested_skip_write,radix_executed_skip_write,requested_skip_lookup,radix_executed_skip_lookup,output_mismatch_positions
32001,meritkv_joint_skip_write_skip_lookup_lru,124,322.536655,531.479298,319.537546,529.041993,23503.998,19355.734651,0,4,56,68,68,68,68,0,0
32001,meritkv_skip_write_only_lru,124,319.468161,529.276669,316.588681,527.175836,23311.993,19255.452473,0,4,56,68,68,68,0,0,0
32001,meritkv_write_through_lru,124,347.212283,521.867467,344.371945,519.828279,25555.14,21270.208645,151185,4,56,68,0,0,0,0,0
32001,native_admit_all_lfu,124,306.574824,516.86086,306.406332,516.684936,22343.513,18729.528774,127950,4,0,0,0,0,0,0,0
32001,native_admit_all_lru,124,341.314767,513.633493,341.156383,513.49857,25091.252,21200.719946,151185,4,0,0,0,0,0,0,0
32002,meritkv_joint_skip_write_skip_lookup_lru,124,321.764784,533.569984,318.744955,531.693612,23491.217,19207.050296,0,4,56,68,68,68,68,0,0
32002,meritkv_skip_write_only_lru,124,317.280032,527.354725,314.450448,525.433267,23110.299,19179.691655,0,4,56,68,68,68,0,0,0
32002,meritkv_write_through_lru,124,342.434375,517.049212,339.578665,515.073505,25177.17,21178.188023,150657,4,56,68,0,0,0,0,0
32002,native_admit_all_lfu,124,305.144073,516.92275,304.978011,516.743407,22289.709,18706.601684,127326,4,0,0,0,0,0,0,0
32002,native_admit_all_lru,124,341.946284,518.198698,341.776732,518.003877,25161.198,21172.933433,150657,4,0,0,0,0,0,0,0
32003,meritkv_joint_skip_write_skip_lookup_lru,124,321.588185,543.021056,318.692963,540.989361,23496.126,19395.703117,0,4,56,68,68,68,68,0,0
32003,meritkv_skip_write_only_lru,124,317.920753,539.831445,314.824682,537.896805,23183.946,19221.227416,0,4,56,68,68,68,0,0,0
32003,meritkv_write_through_lru,124,346.942053,527.405237,344.149143,525.383379,25522.182,21211.852932,150321,4,56,68,0,0,0,0,0
32003,native_admit_all_lfu,124,306.150514,521.079972,305.986394,520.941821,22315.898,18704.489672,127134,4,0,0,0,0,0,0,0
32003,native_admit_all_lru,124,342.02397,521.744721,341.859994,521.585888,25147.428,21158.825837,150321,4,0,0,0,0,0,0,0
32004,meritkv_joint_skip_write_skip_lookup_lru,124,319.056603,526.151789,316.100427,524.178826,23256.962,19209.362815,0,4,56,68,68,68,68,0,0
32004,meritkv_skip_write_only_lru,124,316.389762,525.141925,313.536184,523.092495,23097.036,19053.24151,0,4,56,68,68,68,0,0,0
32004,meritkv_write_through_lru,124,343.947183,517.170754,341.087879,515.011174,25316.012,21091.614334,149073,4,56,68,0,0,0,0,0
32004,native_admit_all_lfu,124,301.759981,508.304069,301.594341,508.115931,22004.696,18494.039771,123767,4,0,0,0,0,0,0,0
32004,native_admit_all_lru,124,338.635962,508.65436,338.472358,508.520683,24916.383,21034.183701,149073,4,0,0,0,0,0,0,0
32005,meritkv_joint_skip_write_skip_lookup_lru,124,324.300279,536.523505,321.252167,534.761543,23659.763,19493.821149,0,4,56,68,68,68,68,0,0
32005,meritkv_skip_write_only_lru,124,321.345554,531.022983,318.445551,529.027478,23447.767,19362.491729,0,4,56,68,68,68,0,0,0
32005,meritkv_write_through_lru,124,349.713146,526.113738,346.845965,524.115447,25732.967,21385.463603,151665,4,56,68,0,0,0,0,0
32005,native_admit_all_lfu,124,307.936961,520.251973,307.775651,520.088884,22485.497,18823.588177,128526,4,0,0,0,0,0,0,0
32005,native_admit_all_lru,124,344.367987,520.702944,344.201565,520.513469,25336.333,21305.951666,151665,4,0,0,0,0,0,0,0
