model,model_slug,model_params_B,dataset,mode,engine,mean_latency_ms,latency_ci_95,latency_std,mean_latency_ms_est_mean,mean_latency_ms_est_std,mean_latency_ms_est_ci_95_lower,mean_latency_ms_est_ci_95_upper,throughput_rps,throughput_std,cached_tokens_mean,cached_tokens_std,cached_token_ratio,gpu_energy_j,energy_std,speedup_vs_lmcache_pct,ratio_sglang,ratio_vllm,ratio_ensemble,ratio_spread,method,estimation_method,n_replicates,source_dataset,batch
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,ag_news,rag,lmcache_no_native_radix,46.888302764576416,0.12034303719382161,0.10634706875349498,42.04717011825619,0.05685576960825869,41.94931875522368,42.166122152526704,21.327354025231188,0.0484174671800895,0.0,0.0,0.0,6758.948333333334,30.893309572354585,0.0,0.9571521872330937,0.9945621521612806,0.9758571696971872,0.037409964928186934,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,ag_news,rag,sglang_radix_attention,43.412087202189774,0.005270999844719318,0.0046579793559905725,38.78185091856843,0.053209388004171784,38.68803167247885,38.89371894280831,23.035059406778483,0.0024714652195848806,129.71875,0.01790068630842125,0.7206597222222222,5429.367333333333,10.314164742399225,7.413822547257743,0.9571521872330937,0.9945621521612806,0.9758571696971872,0.037409964928186934,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,ag_news,rag,sglang_radix_attention_shadowkv_plus,42.71653058564576,0.10075432197392707,0.08903653303111993,37.71436445862704,0.08234719820353942,37.55467213504523,37.865252745151984,23.410208789290227,0.04885237701675988,129.71875,0.01790068630842125,0.7206597222222222,5398.734,12.207934018497703,8.89725567563597,0.9571521872330937,0.9945621521612806,0.9758571696971872,0.037409964928186934,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,ag_news,templated,lmcache_no_native_radix,46.55427379733131,0.13729352178389703,0.12132620167335414,41.838610528987175,0.06355493405884814,41.72628900564225,41.950361000422724,21.480402172885317,0.05593231302145541,0.0,0.0,0.0,6704.974333333333,31.44797157740595,0.0,0.9704769289000672,0.9894981137437378,0.9799875213219025,0.019021184843670547,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,ag_news,templated,sglang_radix_attention,43.17612551221828,0.07900244163167472,0.06981440960615065,38.38717356376332,0.1347392316797971,38.15442518033166,38.66297240803299,23.160988383546385,0.03741566473956316,118.7109375,0.010334966058846057,0.6595052083333334,5406.741666666666,16.392496586344677,7.256365548347754,0.9704769289000672,0.9894981137437378,0.9799875213219025,0.019021184843670547,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,ag_news,templated,sglang_radix_attention_shadowkv_plus,42.5425964152358,0.06460320693979686,0.057089814669191045,37.62292083703126,0.046311449014214356,37.52904425752985,37.70998539931245,23.505880785072012,0.031519386893387964,118.7109375,0.010334966058846057,0.6595052083333334,5416.727666666667,15.83764516376527,8.617205371003939,0.9704769289000672,0.9894981137437378,0.9799875213219025,0.019021184843670547,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,daily_dialog,rag,lmcache_no_native_radix,49.36557534938402,0.22342471177273937,0.19744028186572288,44.52937832466598,0.09627787025481473,44.34013967417152,44.70336803021608,20.257246889646527,0.0808931980263379,2.6666666666666665,1.1547005383792515,0.012698412698412698,7149.619,28.688979260336076,0.0,0.9581147462326928,1.0026587681886223,0.9803867572106575,0.04454402195592955,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,daily_dialog,rag,sglang_radix_attention,43.85266233020957,0.07523334623536013,0.06648366229748187,39.20377276209454,0.035183215013159866,39.140377693182394,39.27634735107702,22.803667536337443,0.034573049251138153,156.19661458333334,0.34054644784232035,0.7437934027777778,5534.5086666666675,14.448915195728029,11.167525102577859,0.9581147462326928,1.0026587681886223,0.9803867572106575,0.04454402195592955,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,daily_dialog,rag,sglang_radix_attention_shadowkv_plus,43.14237435210089,0.03976833708083045,0.03514325528394067,38.16653029964876,0.05126978176658584,38.07359207075767,38.26680853354674,23.17907759044036,0.01888882440800484,156.19661458333334,0.34054644784232035,0.7437934027777778,5535.858,9.763130850296116,12.606357675847047,0.9581147462326928,1.0026587681886223,0.9803867572106575,0.04454402195592955,measured,measured,3,,batch2_14b
Qwen/Qwen2.5-14B-Instruct,qwen25_14b,14.7,daily_dialog,templated,lmcache_no_native_radix,48.4580831104419,0.13665035792450017,0.12075783816209522,43.56527872176164,0.07044123947893387,43.43504422303556,43.712491536506526,20.636477534740067,0.051468560805290095,0.6666666666666666,0.5773502691896258,0.0031746031746031746,7017.22,30.870131697159795,0.0,0.9724396393971434,0.9932101222207165,0.9828248808089299,0.020770482823573078,measured,measured,3,,batch2_14b
