model_slug,model,rep,mode,baseline,seed,end_to_end_latency_mean_ms,end_to_end_latency_p50_ms,end_to_end_latency_p95_ms,end_to_end_latency_p99_ms,end_to_end_throughput_rps,measured_wall_time_s,http_latency_mean_ms,http_latency_p95_ms,http_service_throughput_rps,idle_adjusted_joules_per_request,gpu_energy_j,prompt_tokens_total,completion_tokens_total,cached_tokens_total,cached_tokens_mean,admission_plans_total,admission_allow_total,admission_bypass_total,admission_native_hook_bypass_total,admission_native_bypass_store_allowed_total,admission_native_skip_lookup_total,admission_native_skip_write_total,admission_bypass_store_successes,admission_reason_counts,workload_trace_class_counts,server_extra_key_controls_total,server_skip_lookup_requested_total,server_skip_write_requested_total,server_scheduler_skip_lookup_total,server_radix_skip_lookup_total,server_radix_skip_write_finished_total,server_radix_skip_write_unfinished_total,benchmark_path
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,rag,sglang_radix_attention,20261722,59.71775332773177,53.61887696199119,56.31382396677509,64.78762820479443,16.745026791065253,15.28812125499826,59.703960993374494,56.300381023902446,16.749307472430058,22.837887444562025,7209.468,61638,256,16114,62.9453125,0,0,0,0,0,0,0,0,{},"{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_1/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,rag,sglang_radix_attention_shadowkv_plus,20261722,65.11907840194908,60.198198014404625,64.49006099137478,72.4234166729729,15.356172020116029,16.670821326086298,64.53548232275352,63.87646624352783,15.495351766317025,23.375944837825326,7477.622,61638,256,6165,24.08203125,256,73,183,183,3,183,180,3,"{""exact_prefix_bootstrap"": 69, ""exact_prefix_net_positive"": 4, ""no_reuse_signal"": 183}","{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",183.0,183.0,180.0,0,183.0,180.0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_1/rag/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,templated,sglang_radix_attention,20261622,61.33105369144687,53.51751099806279,56.89046403858811,66.1366505897603,16.304529265914972,15.701158605981618,61.31889915559441,56.87992426101118,16.308185792157445,22.36368923302429,7127.877,59750,256,15265,59.62890625,0,0,0,0,0,0,0,0,{},"{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_1/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,1,templated,sglang_radix_attention_shadowkv_plus,20261622,63.96961594327877,60.38195005385205,66.9930835138075,71.07938377885145,15.63218958692271,16.37646463897545,63.49827492931581,66.60714073223062,15.748459326070938,22.737727249953203,7287.489,59750,256,8105,31.66015625,256,98,158,158,4,158,154,4,"{""exact_prefix_bootstrap"": 95, ""exact_prefix_net_positive"": 3, ""no_reuse_signal"": 158}","{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",158.0,158.0,154.0,0,158.0,154.0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_1/templated/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,2,rag,sglang_radix_attention,20262722,59.82137068440352,53.7610404426232,56.26494422904216,62.52894407371057,16.715950640213265,15.314713803003542,59.80960671467983,56.2543589330744,16.719722046835617,22.87564255998901,7218.52,61638,256,16114,62.9453125,0,0,0,0,0,0,0,0,{},"{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_2/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,2,rag,sglang_radix_attention_shadowkv_plus,20262722,69.86654246975377,65.6417854479514,74.16344902594574,79.16081034927626,14.312733210137733,17.886171441990882,69.26305348360984,73.74697847990319,14.43771173381255,23.07737543852423,7509.448,61638,256,8332,32.546875,256,98,158,158,4,158,154,4,"{""exact_prefix_bootstrap"": 90, ""exact_prefix_net_positive"": 8, ""no_reuse_signal"": 158}","{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",158.0,158.0,154.0,0,158.0,154.0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_2/rag/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,2,templated,sglang_radix_attention,20262622,59.43331578191646,53.286945971194655,56.95706506958231,66.73690394964056,16.82508164334335,15.215379361994565,59.42069274988171,56.94505199790001,16.82915418386789,22.281088884544097,7062.569,59750,256,15265,59.62890625,0,0,0,0,0,0,0,0,{},"{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_2/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,2,templated,sglang_radix_attention_shadowkv_plus,20262622,69.63682438163232,65.73366251541302,71.34155728272162,74.33420247398317,14.359938261612715,17.82737469591666,69.06904146171655,70.798835309688,14.478266656621809,23.425803444579472,7588.845,59750,256,3778,14.7578125,256,48,208,208,2,208,206,2,"{""exact_prefix_bootstrap"": 44, ""exact_prefix_net_positive"": 4, ""no_reuse_signal"": 208}","{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",208.0,208.0,206.0,0,208.0,206.0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_2/templated/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,3,rag,sglang_radix_attention,20263722,60.64437574150361,53.69146552402526,56.63011074648239,64.26112585468216,16.489100916167896,15.52540683094412,60.63203695021002,56.61645720829256,16.49293097015993,22.761737534183933,7205.592,61638,256,16114,62.9453125,0,0,0,0,0,0,0,0,{},"{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_3/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
qwen25_14b,Qwen/Qwen2.5-14B-Instruct,3,rag,sglang_radix_attention_shadowkv_plus,20263722,64.88197964608844,60.32936152769253,64.33280231431127,70.73074110085143,15.412329391697522,16.610078430967405,64.34230439208477,63.66477449773811,15.541874190676602,22.894036508566632,7332.68,61638,256,8332,32.546875,256,98,158,158,4,158,154,4,"{""exact_prefix_bootstrap"": 88, ""exact_prefix_net_positive"": 10, ""no_reuse_signal"": 158}","{""hot_reusable_prefix"": 102, ""one_off_cache_pressure"": 154}",158.0,158.0,154.0,0,158.0,154.0,0,/home/jade_hand/research/shadowkv/results_sglang_native_admission_qwen14b_gate_2026-06-22/qwen25_14b/rep_3/rag/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-14B-Instruct_synthetic_high_skew.json
