model_slug,rep,dataset,mode,comparison,latency_delta_pct,p95_delta_pct,throughput_delta_pct,cached_token_delta
qwen25_14b,1,ag_news,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-1.8301475422744566,-2.6265279337097396,1.8642663673784916,0
qwen25_14b,1,ag_news,rag,lmcache_no_native_radix_vs_sglang_radix_attention,7.743120502548834,7.095611123698498,-7.186649566517474,-33207
qwen25_14b,1,ag_news,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-1.4591796879783343,0.088862469684865,1.4807870315651486,0
qwen25_14b,1,ag_news,templated,lmcache_no_native_radix_vs_sglang_radix_attention,7.857050171107651,8.90340517805094,-7.284688537877669,-30393
qwen25_14b,1,daily_dialog,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-1.737670937433847,-1.5525940952735302,1.7683999087050102,0
qwen25_14b,1,daily_dialog,rag,lmcache_no_native_radix_vs_sglang_radix_attention,12.90193381028287,29.315899749852264,-11.42755785916202,-39575
qwen25_14b,1,daily_dialog,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-1.7937344062459,-2.426734888329175,1.8264969097450159,0
qwen25_14b,1,daily_dialog,templated,lmcache_no_native_radix_vs_sglang_radix_attention,10.738998000741082,28.521918228682864,-9.697575555694678,-36069
qwen25_14b,1,dolly,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-1.7694407212997039,-2.051629152243448,1.8013139030181469,0
qwen25_14b,1,dolly,rag,lmcache_no_native_radix_vs_sglang_radix_attention,11.436890045167141,32.690668181728114,-10.263109496802704,-36005
qwen25_14b,1,dolly,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-1.5924257417611574,-3.2350302393246646,1.6181942840927621,0
qwen25_14b,1,dolly,templated,lmcache_no_native_radix_vs_sglang_radix_attention,10.54857776777228,25.222976271651483,-9.542029378190211,-31374
qwen25_14b,1,samsum,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-1.6907605908195602,-2.6674770826787024,1.7198389500119204,0
