model_slug,model,rep,dataset,mode,baseline,runner_baseline,seed,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,idle_adjusted_joules_per_request,gpu_energy_j,prompt_tokens_total,completion_tokens_total,cached_tokens_total,cached_tokens_mean,admission_plans_total,admission_allow_total,admission_bypass_total,admission_bypass_store_successes,store_successes,lmcache_retrieve_events,lmcache_store_events,benchmark_path
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,ag_news,rag,lmcache_no_native_radix,lmcache,20261041,10.78733863960224,10.512536042369902,12.666004244238138,14.328855706844475,92.70127075911218,2.4836391510065754,897.852,48306,256,0,0.0,0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/ag_news/rag/lmcache_no_native_radix/benchmark_lmcache_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ag_news_rag.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,ag_news,rag,sglang_radix_attention,sglang_radix_attention,20261041,10.74384428011399,10.464695980772376,12.525313184596598,14.334223791956894,93.07655378540075,1.854000481532195,724.584,48306,256,33207,129.71484375,0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/ag_news/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ag_news_rag.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,ag_news,rag,sglang_radix_attention_shadowkv_plus,sglang_radix_attention_shadowkv_plus,20261041,11.095217501406296,10.856356471776962,12.937078543473035,14.164345822064195,90.12892265277829,1.845269630314017,749.642,48306,256,33207,129.71484375,256,255,1,1,256,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/ag_news/rag/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ag_news_rag.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,ag_news,templated,lmcache_no_native_radix,lmcache,20261040,10.895391232224938,10.640907508786768,12.615902989637107,14.62669288157485,91.78192675104067,2.4869264395541215,887.969,46209,256,0,0.0,0,0,0,0,0,0,3,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/ag_news/templated/lmcache_no_native_radix/benchmark_lmcache_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ag_news_templated.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,ag_news,templated,sglang_radix_attention,sglang_radix_attention,20261040,11.313350281852763,10.88339154375717,13.703454955248162,16.319279611343514,88.39114630827396,1.9064234347727855,744.706,46209,256,30393,118.72265625,0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/ag_news/templated/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ag_news_templated.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,ag_news,templated,sglang_radix_attention_shadowkv_plus,sglang_radix_attention_shadowkv_plus,20261040,11.011775148745073,10.756296454928815,12.936326005728915,14.600437687477097,90.81187969171003,1.8927282310393447,744.273,46209,256,30393,118.72265625,256,255,1,1,256,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/ag_news/templated/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_ag_news_templated.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,daily_dialog,rag,lmcache_no_native_radix,lmcache,20261001,11.900033588972292,11.219537525903434,15.040906728245318,16.060246090637516,84.03337625254231,2.712634079660819,988.477,58369,256,512,2.0,0,0,0,0,0,2,68,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/daily_dialog/rag/lmcache_no_native_radix/benchmark_lmcache_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_daily_dialog_rag.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,daily_dialog,rag,sglang_radix_attention,sglang_radix_attention,20261001,10.78469253207004,10.566335986368358,12.415138480719179,14.044056169223039,92.72401573121692,1.9455600922756693,753.786,58369,256,40087,156.58984375,0,0,0,0,0,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/daily_dialog/rag/sglang_radix_attention/benchmark_sglang_radix_attention_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_daily_dialog_rag.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,daily_dialog,rag,sglang_radix_attention_shadowkv_plus,sglang_radix_attention_shadowkv_plus,20261001,11.076592905737925,10.87753300089389,12.821413460187614,14.328799047507346,90.28046877862393,1.914725736172303,769.371,58369,256,40087,156.58984375,256,255,1,1,256,0,0,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/daily_dialog/rag/sglang_radix_attention_shadowkv_plus/benchmark_sglang_radix_attention_shadowkv_plus_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_daily_dialog_rag.json
qwen25_15b,Qwen/Qwen2.5-1.5B-Instruct,1,daily_dialog,templated,lmcache_no_native_radix,lmcache,20261000,11.576602073091635,11.080954980570823,14.28588799899444,15.55487259174697,86.38113270943077,2.709360144100482,961.098,54350,256,0,0.0,0,0,0,0,0,0,43,/home/jade_hand/research/shadowkv/results_sglang_lmcache_shadowkv_3models_identical_blocks_3reps_2026-06-16/qwen25_15b/rep_1/daily_dialog/templated/lmcache_no_native_radix/benchmark_lmcache_Qwen_Qwen2_5-1_5B-Instruct_public_dataset_daily_dialog_templated.json
