job_index	model_slug	model	rep	dataset	mode	baseline	seed	baseline_position	model_position	block_index	block_key
1	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	dolly	templated	sglang_radix_attention	20263060	1	1	1	block_01:3:dolly:templated
2	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	dolly	templated	sglang_radix_attention	20263060	1	2	1	block_01:3:dolly:templated
3	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	dolly	templated	sglang_radix_attention	20263060	1	3	1	block_01:3:dolly:templated
4	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	dolly	templated	sglang_radix_attention_shadowkv_plus	20263060	2	1	1	block_01:3:dolly:templated
5	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	dolly	templated	sglang_radix_attention_shadowkv_plus	20263060	2	2	1	block_01:3:dolly:templated
6	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	dolly	templated	sglang_radix_attention_shadowkv_plus	20263060	2	3	1	block_01:3:dolly:templated
7	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	3	dolly	templated	lmcache_no_native_radix	20263060	3	1	1	block_01:3:dolly:templated
8	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	3	dolly	templated	lmcache_no_native_radix	20263060	3	2	1	block_01:3:dolly:templated
9	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	3	dolly	templated	lmcache_no_native_radix	20263060	3	3	1	block_01:3:dolly:templated
10	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	xsum	rag	lmcache_no_native_radix	20262081	1	1	2	block_02:2:xsum:rag
11	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	xsum	rag	lmcache_no_native_radix	20262081	1	2	2	block_02:2:xsum:rag
12	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	xsum	rag	lmcache_no_native_radix	20262081	1	3	2	block_02:2:xsum:rag
13	qwen25_7b	Qwen/Qwen2.5-7B-Instruct	2	xsum	rag	sglang_radix_attention	20262081	2	1	2	block_02:2:xsum:rag
14	qwen25_15b	Qwen/Qwen2.5-1.5B-Instruct	2	xsum	rag	sglang_radix_attention	20262081	2	2	2	block_02:2:xsum:rag
15	qwen25_3b	Qwen/Qwen2.5-3B-Instruct	2	xsum	rag	sglang_radix_attention	20262081	2	3	2	block_02:2:xsum:rag
