model_slug,rep,dataset,mode,comparison,latency_delta_pct,p95_delta_pct,throughput_delta_pct,cached_token_delta
qwen25_15b,1,ag_news,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,3.270460853036284,3.287465573178789,-3.166888988411176,0
qwen25_15b,1,ag_news,rag,lmcache_no_native_radix_vs_sglang_radix_attention,0.4048305090269634,1.1232538266153644,-0.4031982395414331,-33207
qwen25_15b,1,ag_news,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-2.665657171345901,-5.598069625685536,2.7386604705786883,0
qwen25_15b,1,ag_news,templated,lmcache_no_native_radix_vs_sglang_radix_attention,-3.6943879506520227,-7.9363340789801615,3.8361086877875614,-30393
qwen25_15b,1,daily_dialog,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,2.7066174839929165,3.272416011302522,-2.6352902571392187,0
qwen25_15b,1,daily_dialog,rag,lmcache_no_native_radix_vs_sglang_radix_attention,10.341890170587659,21.149729836714915,-9.372587468457514,-39575
qwen25_15b,1,daily_dialog,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-0.759999221031761,2.124409458831331,0.7658194428317986,0
qwen25_15b,1,daily_dialog,templated,lmcache_no_native_radix_vs_sglang_radix_attention,5.237715254968767,12.665433296187464,-4.97703246623978,-36325
qwen25_15b,1,dolly,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,1.5400731478352758,3.6071383658827734,-1.5167146330424948,0
qwen25_15b,1,dolly,rag,lmcache_no_native_radix_vs_sglang_radix_attention,9.109524792017275,27.097376554347193,-8.348973024473981,-36005
qwen25_15b,1,dolly,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-1.7619368876380215,-5.558579971150726,1.7935378933751613,0
qwen25_15b,1,dolly,templated,lmcache_no_native_radix_vs_sglang_radix_attention,5.010019542542232,13.506907557270942,-4.770991915216756,-31374
qwen25_15b,1,samsum,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,-0.8993973138404147,0.41784854684650474,0.9075598830500542,0
qwen25_15b,1,samsum,rag,lmcache_no_native_radix_vs_sglang_radix_attention,12.814774050060276,19.751182129924022,-11.359127523824023,-38959
qwen25_15b,1,samsum,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,5.303080254000745,5.828450367026575,-5.0360162696183455,0
qwen25_15b,1,samsum,templated,lmcache_no_native_radix_vs_sglang_radix_attention,16.817052877697765,23.453315685150784,-14.396059876039208,-34862
qwen25_15b,1,xsum,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,0.7603242831675278,3.3278753274913355,-0.7545869751577934,0
qwen25_15b,1,xsum,rag,lmcache_no_native_radix_vs_sglang_radix_attention,18.645993624354684,20.73381754955519,-15.715653815829473,-33886
qwen25_15b,1,xsum,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,0.6337786890366562,1.0292419335586303,-0.6297872317754013,0
qwen25_15b,1,xsum,templated,lmcache_no_native_radix_vs_sglang_radix_attention,15.776760382800786,15.634689915329018,-13.626880153354609,-30285
qwen25_15b,2,ag_news,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,1.714018166288261,5.66651899609402,-1.6851346522227413,0
qwen25_15b,2,ag_news,rag,lmcache_no_native_radix_vs_sglang_radix_attention,3.6238383257100693,9.537937367926888,-3.4971087582373035,-33204
qwen25_15b,2,ag_news,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,2.9077338517284246,5.4454408235453124,-2.8255736890659238,0
qwen25_15b,2,ag_news,templated,lmcache_no_native_radix_vs_sglang_radix_attention,2.9170457671720134,6.494399535209479,-2.834366013353332,-30388
qwen25_15b,2,daily_dialog,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,3.520814678094828,7.9210442497277835,-3.4010693299150083,0
qwen25_15b,2,daily_dialog,rag,lmcache_no_native_radix_vs_sglang_radix_attention,9.730856512537091,20.531381141700898,-8.867930882709656,-38912
qwen25_15b,2,daily_dialog,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,0.7593780757816517,5.3952383393200245,-0.7536549850580829,0
qwen25_15b,2,daily_dialog,templated,lmcache_no_native_radix_vs_sglang_radix_attention,6.6168432816771015,17.85677920175074,-6.206189451882085,-35926
qwen25_15b,2,dolly,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,1.137454393579996,1.3894780899974801,-1.1246618776398618,0
qwen25_15b,2,dolly,rag,lmcache_no_native_radix_vs_sglang_radix_attention,6.844908415743535,19.54028580118818,-6.406396446248388,-36455
qwen25_15b,2,dolly,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,2.5844740513273075,8.117124216342525,-2.5193617993636916,0
qwen25_15b,2,dolly,templated,lmcache_no_native_radix_vs_sglang_radix_attention,9.942831185060136,24.99621272134684,-9.043637568623241,-31121
qwen25_15b,2,samsum,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,2.6611894432234706,-0.6621739750732567,-2.59220593259854,0
qwen25_15b,2,samsum,rag,lmcache_no_native_radix_vs_sglang_radix_attention,12.61296291557919,15.196882516752813,-11.200276228443206,-38959
qwen25_15b,2,samsum,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,0.5294056128800271,-2.5618874794832944,-0.526617669379906,0
qwen25_15b,2,samsum,templated,lmcache_no_native_radix_vs_sglang_radix_attention,13.492322221181304,19.96227608933093,-11.888312757304039,-34607
qwen25_15b,2,xsum,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,0.9712767738299488,-0.7371011551534565,-0.961933734883393,0
qwen25_15b,2,xsum,rag,lmcache_no_native_radix_vs_sglang_radix_attention,15.267047026152014,13.917033034666456,-13.244936363025065,-33865
qwen25_15b,2,xsum,templated,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,1.549990332039104,4.567588872329999,-1.5263323285123813,0
qwen25_15b,2,xsum,templated,lmcache_no_native_radix_vs_sglang_radix_attention,18.12217109493379,22.445407260332257,-15.341887917357324,-29561
qwen25_15b,3,ag_news,rag,sglang_radix_attention_shadowkv_plus_vs_sglang_radix_attention,2.247003543578505,1.9215874738661745,-2.1976228795994186,0
