model_slug,model_params_b,engine,mean_latency_ms,throughput_rps,cached_tokens_mean,speedup_vs_lmcache_pct,overlay_to_native_latency_ratio,measurement_scope
qwen25_1_5b,1.5,lmcache_no_native_radix,12.9,79.2,1.5,0.0,,measured aggregate
qwen25_1_5b,1.5,sglang_radix_attention,11.7,86.5,130.8,9.2,,measured aggregate
qwen25_1_5b,1.5,sglang_radix_attention_meritkv,11.9,85.1,130.8,7.7,1.013,measured write-through overlay aggregate
qwen25_3b,3,lmcache_no_native_radix,17.3,57.8,1.3,0.0,,measured aggregate
qwen25_3b,3,sglang_radix_attention,15.6,64.7,130.8,10.1,,measured aggregate
qwen25_3b,3,sglang_radix_attention_meritkv,15.7,64.3,130.8,9.3,1.006,measured write-through overlay aggregate
qwen25_7b,7,lmcache_no_native_radix,28.6,35.6,1.2,0.0,,measured aggregate
qwen25_7b,7,sglang_radix_attention,24.6,41.0,130.8,14.0,,measured aggregate
qwen25_7b,7,sglang_radix_attention_meritkv,23.8,42.3,130.8,16.7,0.976,measured write-through overlay aggregate
qwen25_14b,14,lmcache_no_native_radix,53.4,19.0,1.1,0.0,,measured aggregate
qwen25_14b,14,sglang_radix_attention,47.0,21.4,130.8,12.0,,measured aggregate
qwen25_14b,14,sglang_radix_attention_meritkv,46.2,21.8,130.8,13.6,0.981,measured write-through overlay aggregate
qwen25_32b,32,lmcache_no_native_radix,102.1,10.1,2.0,0.0,,measured aggregate
qwen25_32b,32,sglang_radix_attention,101.7,10.2,130.8,0.4,,measured aggregate
qwen25_32b,32,sglang_radix_attention_meritkv,96.9,10.4,130.8,5.1,0.953,measured write-through overlay aggregate
